약국명,도로명주소,자치구,행정동,심야약국,유년부양비,노년부양비,노령화지수,종합병원,병원,의원,치과병원,치과의원,한방병원,한방의원,인구밀도,한국인 0~4세,한국인 5~9세,한국인 10~14세,한국인 15~19세,한국인 20~24세,한국인 25~29세,한국인 30~34세,한국인 35~39세,한국인 40~44세,한국인 45~49세,한국인 50~54세,한국인 55~59세,한국인 60~64세,한국인 65~69세,한국인 70~74세,한국인 75~79세,한국인 80~84세,한국인 85~89세,한국인 90~94세,한국인 95~99세,한국인 100세 이상,외국인 0~4세,외국인 5~9세,외국인 10~14세,외국인 15~19세,외국인 20~24세,외국인 25~29세,외국인 30~34세,외국인 35~39세,외국인 40~44세,외국인 45~49세,외국인 50~54세,외국인 55~59세,외국인 60~64세,외국인 65~69세,외국인 70~74세,외국인 75~79세,외국인 80~84세,외국인 85~89세,외국인 90~94세,외국인 95~99세,외국인 100세 이상
샘물온누리약국,서울특별시 중구 퇴계로88길 45 1층 (신당동),중구,신당5동,0,9.8,22.6,229.1,2,4,240,6,209,1,96,27864,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
주원약국,서울특별시 중구 퇴계로 438-1 (신당동),중구,신당5동,0,9.8,22.6,229.1,2,4,240,6,209,1,96,27864,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
동국약국,서울특별시 중구 서애로1길 16 (필동3가),중구,필동,0,7.5,25.6,341.3,2,4,240,6,209,1,96,4170,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
동문약국,서울특별시 중구 을지로41길 14 (을지로6가),중구,광희동,0,5.3,22.7,427,2,4,240,6,209,1,96,8670,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
건강백세약국,서울특별시 중구 서소문로 12 (중림동),중구,중림동,0,15.6,23.4,150.1,2,4,240,6,209,1,96,26669,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
현대약국,서울특별시 중구 동호로 196 (신당동),중구,다산동,0,8.4,26,308.6,2,4,240,6,209,1,96,28873,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
2층바른약국,서울특별시 중구 다산로11길 3 약수JK빌딩 2층 (신당동),중구,다산동,0,8.4,26,308.6,2,4,240,6,209,1,96,28873,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
오성약국,서울특별시 중구 퇴계로41길 51 (인현동2가),중구,광희동,0,5.3,22.7,427,2,4,240,6,209,1,96,8670,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
서울하이약국,서울특별시 중구 세종대로 11-1 1층 (남대문로5가),중구,회현동,0,9.4,37,392.3,2,4,240,6,209,1,96,6854,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
대화약국,서울특별시 중구 동호로5길 22 (신당동),중구,약수동,0,13,33.1,254.5,2,4,240,6,209,1,96,36154,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
제니스약국,서울특별시 중구 다산로46길 17 2층 213호 (흥인동),중구,신당동,0,6.1,20.5,336.6,2,4,240,6,209,1,96,16711,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
유네스코약국,서울특별시 중구 명동길 26 402호 (명동2가 유네스코빌딩 ),중구,명동,0,7.7,27.6,357,2,4,240,6,209,1,96,3722,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
하나약국,서울특별시 중구 무교로 32 4층 (무교동 효령빌딩),중구,명동,0,7.7,27.6,357,2,4,240,6,209,1,96,3722,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
푸른약국,서울특별시 중구 명동8길 47 (충무로2가),중구,명동,0,7.7,27.6,357,2,4,240,6,209,1,96,3722,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
한중약국,서울특별시 중구 서소문로 120 지하1층 (서소문동 ENA 센터),중구,소공동,0,15.9,11,69.4,2,4,240,6,209,1,96,3169,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
동화약국,서울특별시 중구 다산로34길 47 (신당동),중구,동화동,0,14.1,25.3,180,2,4,240,6,209,1,96,41642,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
신라약국,서울특별시 중구 남대문로9길 16 (다동),중구,명동,0,7.7,27.6,357,2,4,240,6,209,1,96,3722,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
시티약국,서울특별시 중구 퇴계로 409 흥화브라운 오피스텔 1층 101호 (흥인동),중구,신당동,0,6.1,20.5,336.6,2,4,240,6,209,1,96,16711,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
이앤약국,서울특별시 중구 을지로 지하 42 을지로입구역 2호선 202-111호 (을지로1가),중구,명동,0,7.7,27.6,357,2,4,240,6,209,1,96,3722,2798,3276,3023,3479,7183,10817,10631,9279,8909,8297,10263,9647,9933,8066,5767,4610,3464,1770,685,155,36,193,277,213,255,1737,1582,1019,898,727,609,633,631,416,215,98,36,27,13,4,0,2.0
새평화약국,서울특별시 용산구 후암로57길 37 1층 (동자동),용산구,남영동,0,5.2,25.8,496.1,1,2,140,0,105,0,60,6820,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
3층 파란문 약국,서울특별시 용산구 한강대로 69 3층 305-1호 (한강로2가 용산푸르지오써밋),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
희망약국,서울특별시 용산구 원효로 171 신영빌딩 1층 (원효로2가),용산구,원효로1동,0,14.2,15.5,109,1,2,140,0,105,0,60,28356,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
새봄약국,서울특별시 용산구 백범로 287 1층 (효창동),용산구,효창동,0,14.5,19.7,135.9,1,2,140,0,105,0,60,23468,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
용산대학약국,서울특별시 용산구 대사관로 58 용산대학약국 1층 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
국민약국,서울특별시 용산구 이태원로 186 1층 (이태원동),용산구,이태원1동,0,8.7,22.5,259.4,1,2,140,0,105,0,60,15375,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
해피약국,서울특별시 용산구 서빙고로 17 용산센트럴파크해링턴스퀘어 상가동 2층 108호 (한강로3가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
효창약국,서울특별시 용산구 백범로 259 지층 (효창동),용산구,효창동,0,14.5,19.7,135.9,1,2,140,0,105,0,60,23468,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
이태원수약국,서울특별시 용산구 보광로 125 2층 (이태원동),용산구,이태원1동,0,8.7,22.5,259.4,1,2,140,0,105,0,60,15375,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
행복을 주는 약국,서울특별시 용산구 새창로 70 212호 (도원동 도원동삼성래미안),용산구,용문동,0,11.8,24.4,206.1,1,2,140,0,105,0,60,44482,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
정화약국,서울특별시 용산구 두텁바위로 11 (갈월동),용산구,남영동,0,5.2,25.8,496.1,1,2,140,0,105,0,60,6820,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
스타약국,서울특별시 용산구 한강대로23길 55 용산역 3층 (한강로3가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
봄의 언덕 약국,서울특별시 용산구 후암로34길 22 1층 (후암동),용산구,후암동,0,11.5,23.6,205.6,1,2,140,0,105,0,60,21165,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
하늘약국,서울특별시 용산구 한강대로 95 상가동 2층 228호 (한강로2가 래미안용산 더 센트럴),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
이화약국,서울특별시 용산구 대사관로 60 1층 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
래미안스타약국,서울특별시 용산구 한강대로 95 지하2층 208호 (한강로2가 래미안용산 더 센트럴),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
애플약국,서울특별시 용산구 청파로 247 애전빌딩 지하1층 (청파동3가),용산구,청파동,0,6.8,21,306.5,1,2,140,0,105,0,60,22523,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
나라약국,서울특별시 용산구 청파로47길 7 102호 (청파동3가),용산구,청파동,0,6.8,21,306.5,1,2,140,0,105,0,60,22523,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
용산오늘약국,서울특별시 용산구 새창로 217 용산토투밸리 1층 (한강로2가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
가까운우리약국,서울특별시 용산구 대사관로31길 7-10 1층 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
용산파크약국,서울특별시 용산구 서빙고로 17 용산 센트럴파크 해링턴스퀘어 D동 2층 50호 (한강로3가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
현대온누리약국,서울특별시 용산구 이촌로 280 1층 1호 (이촌동 명지상가),용산구,이촌1동,0,22.5,23.9,105.9,1,2,140,0,105,0,60,10126,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
소아제일약국,서울특별시 용산구 청파로 383-8 (서계동 청운가든),용산구,청파동,0,6.8,21,306.5,1,2,140,0,105,0,60,22523,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
해란약국,서울특별시 용산구 청파로47길 53 1층 (청파동3가),용산구,청파동,0,6.8,21,306.5,1,2,140,0,105,0,60,22523,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
보림사약국,서울특별시 용산구 한강대로62나길 20 (용산동3가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
가정약국,서울특별시 용산구 청파로 333 (청파동1가),용산구,청파동,0,6.8,21,306.5,1,2,140,0,105,0,60,22523,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
수명약국,서울특별시 용산구 신흥로 141 (용산동2가),용산구,용산2가동,0,7.8,25.2,323.5,1,2,140,0,105,0,60,5751,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
소명약국,서울특별시 용산구 우사단로 43 (이태원동),용산구,이태원1동,0,8.7,22.5,259.4,1,2,140,0,105,0,60,15375,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
신용산약국,서울특별시 용산구 한강대로15길 9-18 (한강로3가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
서울약국,서울특별시 용산구 한강대로 312 2층 (갈월동 하나은행 우태하피부과 서울약국),용산구,남영동,0,5.2,25.8,496.1,1,2,140,0,105,0,60,6820,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
부자약국,서울특별시 용산구 대사관로30가길 1 1층 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
우리약국,서울특별시 용산구 한강대로23길 55 아이파크몰 리빙파크 6층 218호 (한강로3가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
가장큰태평양약국,서울특별시 용산구 대사관로 52 1층 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
수약국,서울특별시 용산구 백범로51길 6 지하1층 (효창동),용산구,효창동,0,14.5,19.7,135.9,1,2,140,0,105,0,60,23468,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
참온누리약국,서울특별시 용산구 신흥로 150-1 (후암동),용산구,후암동,0,11.5,23.6,205.6,1,2,140,0,105,0,60,21165,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
신진약국,서울특별시 용산구 우사단로 2-1 1층 104호 (보광동),용산구,보광동,0,7.7,24.3,317.1,1,2,140,0,105,0,60,21875,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
정문약국,서울특별시 용산구 대사관로 60-1 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
국제약국,서울특별시 용산구 한강대로 290-1 (남영동),용산구,남영동,0,5.2,25.8,496.1,1,2,140,0,105,0,60,6820,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
세브레스약국,서울특별시 용산구 대사관로 56 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
시온약국,서울특별시 용산구 독서당로 67 (한남동),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
보승약국,서울특별시 용산구 우사단로4길 42-1 1층 (보광동),용산구,보광동,0,7.7,24.3,317.1,1,2,140,0,105,0,60,21875,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
종로프라자약국,서울특별시 용산구 한강대로23길 55 (한강로3가 이마트내),용산구,한강로동,1,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
다니엘약국,서울특별시 용산구 이촌로 103 1층 (한강로3가 천일빌딩),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
대성옵티마약국,서울특별시 용산구 회나무로 23 (이태원동),용산구,이태원2동,0,10.4,23.4,224.1,1,2,140,0,105,0,60,12552,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
알파약국,서울특별시 용산구 보광로 46 (보광동),용산구,보광동,0,7.7,24.3,317.1,1,2,140,0,105,0,60,21875,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
풍전약국,서울특별시 용산구 원효로25길 31 (원효로4가),용산구,원효로2동,0,13.4,22.6,167.9,1,2,140,0,105,0,60,20185,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
양지약국,서울특별시 용산구 이촌로 248 11동 103-1호 (이촌동 한강맨션),용산구,이촌1동,0,22.5,23.9,105.9,1,2,140,0,105,0,60,10126,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
건강한약국,서울특별시 용산구 효창원로93길 2 (청파동2가),용산구,청파동,0,6.8,21,306.5,1,2,140,0,105,0,60,22523,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
세계약국,서울특별시 용산구 원효로 171 (원효로2가),용산구,원효로1동,0,14.2,15.5,109,1,2,140,0,105,0,60,28356,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
예사랑약국,서울특별시 용산구 이촌로 352 103호 (용산동6가 신동아쇼핑),용산구,서빙고동,0,15.1,21.2,139.8,1,2,140,0,105,0,60,5000,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
메디팜나은약국,서울특별시 용산구 한강대로 211 110호 (한강로1가 대우월드마크용산),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
문약국,서울특별시 용산구 독서당로 67 205호 (한남동 서울빌딩),용산구,한남동,0,12.3,22,179,1,2,140,0,105,0,60,7894,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
온누리백합약국,서울특별시 용산구 후암로 33-3 1층 (후암동),용산구,후암동,0,11.5,23.6,205.6,1,2,140,0,105,0,60,21165,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
새무림약국,서울특별시 용산구 한강대로 55 (한강로3가),용산구,한강로동,0,11.5,17.9,155.5,1,2,140,0,105,0,60,7620,5615,6729,6846,7680,12978,19446,20107,17773,17066,16248,19380,16671,16693,12668,8916,7070,5752,3079,1182,287,77,450,778,706,479,899,1322,1713,1870,1703,1273,1203,839,550,289,165,75,34,12,3,5,1.0
