NO,병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
119,꽃잎위에선한의원,응급의료기관 이외 > 한의원,064-749-8000,"제주특별자치도 제주시 노형로 407, 203호 (노형동)",09:30~18:00,09:30~20:30,-,09:30~18:00,09:30~18:00,09:30~14:00,-,-
120,봉개의원,응급의료기관 이외 > 의원,064-721-4275,"제주특별자치도 제주시 삼봉로 327-2, B 102호 (봉개동, 봉개 미소담)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:00,-,-
121,건강100세의원,응급의료기관 이외 > 의원,064-751-8222,"제주특별자치도 제주시 서광로 273, 2층 (이도일동)",09:00~18:00,09:00~18:00,09:00~12:30,09:00~18:00,09:00~18:00,09:00~12:30,-,-
122,삼화상쾌한의원,응급의료기관 이외 > 의원,064-721-5553,"제주특별자치도 제주시 화삼북로 68, 삼화지구 신형빌딩 3층 (도련일동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,09:00~18:00,09:00~18:00
123,올바른치과의원,응급의료기관 이외 > 치과의원,064-783-8797,"제주특별자치도 제주시 조천읍 신북로 524, 3층",09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-
124,한라연한의원,응급의료기관 이외 > 한의원,064-794-1075,"제주특별자치도 제주시 도령로 76, 2층 (연동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
125,누리한의원,응급의료기관 이외 > 한의원,064-712-8895,"제주특별자치도 제주시 우정로13길 3, 4층 (외도일동, DM빌딩)",09:00~20:00,09:00~20:00,09:00~13:00,09:00~20:00,09:00~20:00,15:00~18:00,-,-
126,한라속시원내과의원,응급의료기관 이외 > 의원,064-755-5788,"제주특별자치도 제주시 중앙로 266, 216, 217호 (이도이동, 영도 갤럭시타운)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
127,하나가정의학과의원,응급의료기관 이외 > 의원,064-743-8111,"제주특별자치도 제주시 월랑로 59, 2층 (노형동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
128,오케이정형외과의원,응급의료기관 이외 > 의원,064-758-0575,제주특별자치도 제주시 동광로 108-1 (일도이동),08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~18:00,08:30~13:00,-,-
129,우리한의원,응급의료기관 이외 > 한의원,064-721-7553,"제주특별자치도 제주시 서광로 301, 3층 (이도일동)",09:00~18:30,09:00~19:30,09:00~18:30,14:00~19:30,09:00~18:30,09:00~13:30,-,-
130,에이플러스치과의원,응급의료기관 이외 > 치과의원,064-755-1102,"제주특별자치도 제주시 번영로 510, 3층 (봉개동)",09:00~18:00,09:00~18:00,-,09:00~18:00,09:00~18:00,09:00~17:00,-,-
131,노형유디치과의원,응급의료기관 이외 > 치과의원,064-747-6996,"제주특별자치도 제주시 연북로 30, 3~4층 (노형동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:30,-,-
132,디올레치과의원,응급의료기관 이외 > 치과의원,064-755-2527,"제주특별자치도 제주시 중앙로 266, 101호 (이도이동, 영도 갤럭시타운)",-,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-
133,하동바툼낭의원,응급의료기관 이외 > 의원,064-713-8225,제주특별자치도 제주시 애월읍 하귀로 35,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
134,구구정형외과의원,응급의료기관 이외 > 의원,064-747-0199,"제주특별자치도 제주시 우정로 55, 2층 (외도일동)",08:30~18:30,08:30~20:00,08:30~17:00,08:30~20:00,08:30~18:30,08:30~13:30,-,-
135,박정욱한의원,응급의료기관 이외 > 한의원,064-723-8775,"제주특별자치도 제주시 연북로 527, 2층 (아라일동, 반디빌딩)",09:30~18:30,09:30~20:00,09:30~18:30,14:00~20:00,09:30~18:30,09:30~14:00,-,-
136,선사한의원,응급의료기관 이외 > 한의원,064-756-7588,제주특별자치도 제주시 선사로 15 (삼양이동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
137,제주대항외과의원,응급의료기관 이외 > 의원,064-757-5300,제주특별자치도 제주시 고마로 53,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
138,신제주학문외과의원,응급의료기관 이외 > 의원,064-748-7175,"제주특별자치도 제주시 노형8길 2, 5층일부, 6층층 (노형동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,09:00~18:00,08:30~12:00,-,-
139,하루항외과의원,응급의료기관 이외 > 의원,064-726-8275,"제주특별자치도 제주시 서광로 175, 아세아빌딩 2층 (용담일동)",10:00~17:30,10:00~17:30,10:00~17:30,10:00~17:30,10:00~17:30,10:00~13:00,-,-
140,한마음병원,지역응급의료센터 > 종합병원,064-750-9000,제주특별자치도 제주시 연신로 52 (이도이동),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-
141,솔담한방병원,응급의료기관 이외 > 한방병원,064-903-1087,제주특별자치도 제주시 1100로 3055 (노형동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:00,-,09:00~17:00
142,애월의원,응급의료기관 이외 > 의원,064-799-5400,"제주특별자치도 제주시 애월읍 애월로11길 6-2, 2층",08:30~17:30,08:30~17:30,08:30~17:30,08:30~16:00,08:30~17:30,08:30~12:00,-,-
143,제주특별자치도제주의료원,응급의료기관 이외 > 병원,064-720-2222,"제주특별자치도 제주시 산천단남길 10, 제주의료원 (아라일동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-
144,미소하나치과의원,응급의료기관 이외 > 치과의원,064-723-2275,"제주특별자치도 제주시 고마로 117, 2층 (일도이동, 수협)",09:30~18:00,09:30~18:00,-,09:30~18:00,09:30~18:00,-,-,-
145,열린한의원,응급의료기관 이외 > 한의원,064-753-8500,제주특별자치도 제주시 동광로 118 (일도이동),09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
146,봉개영웅의원,응급의료기관 이외 > 의원,064-757-2217,"제주특별자치도 제주시 번영로 500, 2층 (봉개동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,-,-
147,제주아이치과의원,응급의료기관 이외 > 치과의원,064-755-2885,"제주특별자치도 제주시 동화로 50, 3층 (화북일동)",10:00~19:00,10:00~19:00,-,14:00~19:00,10:00~19:00,10:00~14:00,-,-
148,한봉한의원,응급의료기관 이외 > 한의원,064-727-7510,"제주특별자치도 제주시 서광로 235 (삼도일동,(서광로88))",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
149,경희부부한의원,응급의료기관 이외 > 한의원,647820770,"제주특별자치도 제주시 조천읍 신북로 241, 2층 (영재아트빌)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00
150,홍한의원,응급의료기관 이외 > 한의원,064-721-5975,제주특별자치도 제주시 서광로 283 (이도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
151,킴스플란트치과의원,응급의료기관 이외 > 치과의원,064-711-2875,"제주특별자치도 제주시 연북로 10, 신영빌딩 5층 (노형동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
152,한림김안과의원,응급의료기관 이외 > 의원,064-796-0572,"제주특별자치도 제주시 한림읍 명랑로 13, 2층 (한림읍)",09:00~18:00,09:00~18:00,09:00~12:00,09:00~18:00,09:00~18:00,-,-,-
153,365경희부부한의원,응급의료기관 이외 > 한의원,064-782-0990,"제주특별자치도 제주시 일주동로 187, 2층 (화북일동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00
154,김래상신경외과의원,응급의료기관 이외 > 의원,064-725-8275,"제주특별자치도 제주시 중앙로 366, 2층 (이도이동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
155,애월정의원,응급의료기관 이외 > 의원,064-799-0097,제주특별자치도 제주시 애월읍 애월로 109,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
156,올레마취통증의학과의원,응급의료기관 이외 > 의원,064-748-2780,"제주특별자치도 제주시 관덕로13길 2, 2층 (일도일동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
157,이치과의원,응급의료기관 이외 > 치과의원,064-723-2875,"제주특별자치도 제주시 동화로 28, 3층 (화북일동)",09:30~18:30,09:30~18:30,09:30~12:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-
158,정광훈정형외과의원,응급의료기관 이외 > 의원,064-723-7589,제주특별자치도 제주시 연삼로 395 (이도이동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
159,제주한의원,응급의료기관 이외 > 한의원,064-749-4477,제주특별자치도 제주시 정존13길 3 (노형동),09:00~18:20,09:00~18:20,-,09:00~18:20,09:00~18:20,09:00~12:00,-,-
160,케이뷰티성형외과의원,응급의료기관 이외 > 의원,064-758-1800,"제주특별자치도 제주시 중앙로 371-1, 3, 5층 (이도이동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-
161,튼튼소아청소년과의원,응급의료기관 이외 > 의원,064-748-8275,"제주특별자치도 제주시 과원북4길 35, 늘푸른빌딩 3층 (노형동)",08:50~18:30,08:50~18:30,08:50~18:30,08:50~18:30,08:50~18:30,08:50~13:00,-,08:50~12:30
162,한림본정형외과의원,응급의료기관 이외 > 의원,064-796-0721,"제주특별자치도 제주시 한림읍 한림상로 116, 1층(105호)~2층",08:30~18:00,08:30~18:00,08:30~13:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
163,현대정형외과의원,응급의료기관 이외 > 의원,064-747-9129,제주특별자치도 제주시 월랑로 1 (노형동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
164,연세우리동네치과의원,응급의료기관 이외 > 치과의원,064-711-8275,"제주특별자치도 제주시 애월읍 일주서로 6689, 2층",09:00~18:00,09:00~18:00,09:00~18:00,-,09:00~18:00,09:30~12:30,-,-
165,의료법인 혜인의료재단 한국병원,지역응급의료기관 > 종합병원,064-750-0000,제주특별자치도 제주시 서광로 193 (삼도일동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-
166,김용석통증의학과의원,응급의료기관 이외 > 의원,064-749-7588,제주특별자치도 제주시 노연로 101 (연동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,09:00~18:00,09:00~12:00,-,-
167,노형큐치과의원,응급의료기관 이외 > 치과의원,064-725-0001,"제주특별자치도 제주시 연북로 34, 3층 (노형동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
168,성연내과의원,응급의료기관 이외 > 의원,064-749-7227,"제주특별자치도 제주시 월랑로 39, 동마빌딩 501호 (노형동)",09:00~18:00,09:00~18:00,09:00~12:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
169,이튼치과의원,응급의료기관 이외 > 치과의원,064-711-0028,"제주특별자치도 제주시 중앙로 298 (이도이동, 이튼빌딩)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:00,-,-
170,제주소망의원,응급의료기관 이외 > 의원,064-784-7471,"제주특별자치도 제주시 조천읍 신북로 519, 2층",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:00,-,-
171,톡스앤필의원,응급의료기관 이외 > 의원,064-711-4842,"제주특별자치도 제주시 노형로 378, 2층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~16:00,-,-
172,권대헌내과의원,응급의료기관 이외 > 의원,064-742-5575,"제주특별자치도 제주시 노형로 386, 4층 (노형동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
173,더사랑치과의원,응급의료기관 이외 > 치과의원,064-805-2275,"제주특별자치도 제주시 건주로4길 6-8, 4층 401호 (도련일동)",09:30~20:30,09:30~19:00,09:30~19:00,14:00~20:30,09:30~19:00,-,-,-
174,고성은치과의원,응급의료기관 이외 > 치과의원,064-758-3200,"제주특별자치도 제주시 중앙로 358, 4층 (이도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
175,늘봄미아름의원,응급의료기관 이외 > 의원,064-747-5200,"제주특별자치도 제주시 월랑로 33, 한라빌딩 3층 (노형동)",09:30~19:00,09:30~21:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-
176,동부연합의원,응급의료기관 이외 > 의원,064-784-8866,제주특별자치도 제주시 구좌읍 일주동로 3113,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,08:30~12:00
177,연세내과의원,응급의료기관 이외 > 의원,064-782-5119,제주특별자치도 제주시 구좌읍 세화3길 2,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,-
178,이순재내과의원,응급의료기관 이외 > 의원,064-726-7582,"제주특별자치도 제주시 중앙로 543, 2, 4층 (아라일동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
179,한승진신경외과의원,응급의료기관 이외 > 의원,064-752-8886,제주특별자치도 제주시 서광로 161 (용담일동),08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~12:00,-,08:40~11:00
180,화이트치과의원,응급의료기관 이외 > 치과의원,064-742-8700,제주특별자치도 제주시 월랑로 1 (노형동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
181,다나산부인과의원,응급의료기관 이외 > 의원,647021186,제주특별자치도 제주시 고마로 47 (일도이동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,09:00~12:00
182,서해치과의원,응급의료기관 이외 > 치과의원,064-721-0288,"제주특별자치도 제주시 고마로 87, 2층 (일도이동, 신정빌딩)",09:30~19:00,09:30~18:00,09:30~19:00,-,09:30~19:00,09:30~12:00,-,-
183,상쾌한이비인후과의원,응급의료기관 이외 > 의원,064-752-4401,"제주특별자치도 제주시 동광로 124, 3,4,5층 (일도이동, 기봉빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,09:00~18:00,09:00~18:00
184,배진성마취통증의학과의원,응급의료기관 이외 > 의원,064-749-6335,"제주특별자치도 제주시 우정로15길 5, 5층 (외도일동)",08:30~18:00,08:30~18:00,08:30~13:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
185,오렌지한의원,응급의료기관 이외 > 한의원,064-726-1077,"제주특별자치도 제주시 서광로 167, 아리랑빌딩 2층 (용담일동)",09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~13:00,-,-
186,김선욱한의원,응급의료기관 이외 > 한의원,064-796-5333,"제주특별자치도 제주시 한림읍 한림로 645, 1층",08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~13:00,-,-
187,모아의원,응급의료기관 이외 > 의원,064-742-7586,제주특별자치도 제주시 과원북4길 5 (노형동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
188,서울정형외과의원,응급의료기관 이외 > 의원,064-752-8818,"제주특별자치도 제주시 중앙로 354, 3층 (이도이동)",09:00~18:30,09:00~18:30,09:00~13:00,09:00~18:30,09:00~18:30,09:00~13:00,-,-
189,서울아산정형외과의원,응급의료기관 이외 > 의원,647828275,"제주특별자치도 제주시 조천읍 함덕13길 1, 2층",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
190,김병훈정형외과의원,응급의료기관 이외 > 의원,064-744-0700,제주특별자치도 제주시 도령로 7 (노형동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,09:00~12:30,-,-
191,늘푸른가정의학과의원,응급의료기관 이외 > 의원,064-752-9696,"제주특별자치도 제주시 중앙로 175, 4층 (이도일동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,08:30~19:00,08:30~13:00
192,라아한의원,응급의료기관 이외 > 한의원,064-702-8259,"제주특별자치도 제주시 오남로 212, 1층 (오라이동)",08:30~18:30,08:30~18:30,08:30~18:30,-,08:30~18:30,08:30~14:00,-,-
193,한림윤패밀리의원,응급의료기관 이외 > 의원,064-772-7582,"제주특별자치도 제주시 한림읍 한림상로 98, 1~2층",08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,08:30~18:00,08:30~13:00,-,-
194,하늘마음한의원,응급의료기관 이외 > 한의원,064-723-8575,"제주특별자치도 제주시 중앙로 371, 3층 (이도이동)",09:30~21:00,09:30~19:00,-,09:30~21:00,09:30~19:00,09:00~13:00,-,-
195,맑은수면이비인후과의원,응급의료기관 이외 > 의원,064-747-0595,"제주특별자치도 제주시 원노형남1길 1, 더현빌딩 2,3층 (노형동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
196,배정형외과내과의원,응급의료기관 이외 > 의원,064-722-1200,"제주특별자치도 제주시 건주로 27, 2층 201호 (도련일동)",08:30~18:00,08:30~20:30,08:30~13:00,08:30~20:30,08:30~18:00,08:30~13:00,-,-
197,건강한한림연합내과의원,응급의료기관 이외 > 의원,064-900-1017,"제주특별자치도 제주시 한림읍 한림중앙로 71, 2층",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,09:00~13:00,-,-
198,미소아치과치과의원,응급의료기관 이외 > 치과의원,064-759-2228,"제주특별자치도 제주시 신설로6길 1, 1층 (이도이동)",10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,-,-,-
199,이화소아청소년과의원,응급의료기관 이외 > 의원,064-756-1133,제주특별자치도 제주시 신설로7길 4 (아라이동),08:30~18:30,08:30~18:30,08:30~12:30,08:30~18:30,08:30~18:30,08:30~12:00,-,-
200,강인수양휘치과의원,응급의료기관 이외 > 치과의원,064-748-8875,"제주특별자치도 제주시 월랑로 39, 4층 (노형동, 동마빌딩)",09:00~18:00,09:00~18:00,09:00~12:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
201,제주제일의원,응급의료기관 이외 > 의원,064-759-7582,제주특별자치도 제주시 동문로20길 1 (일도이동),08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~18:00,08:30~12:30,-,-
202,장원석치과의원,응급의료기관 이외 > 치과의원,064-722-2818,"제주특별자치도 제주시 노형로 378, 7층 (노형동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,-,-,-
203,품듯한의원,응급의료기관 이외 > 한의원,064-805-4910,"제주특별자치도 제주시 중앙로 491, 1,2층 (아라이동)",09:00~18:00,-,-,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,-
204,용담매일한의원,응급의료기관 이외 > 한의원,064-711-9365,제주특별자치도 제주시 흥운길 22 (용담이동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~14:00,-,-
205,하귀하나로의원,응급의료기관 이외 > 의원,064-712-3993,제주특별자치도 제주시 애월읍 일주서로 7136,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
206,연세외도정형외과의원,응급의료기관 이외 > 의원,064-746-8007,"제주특별자치도 제주시 절물1길 40, 1,2층 (외도일동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-
207,연세마취통증의학과의원,응급의료기관 이외 > 의원,064-725-0341,"제주특별자치도 제주시 관덕로 58, 2,3층 (이도일동)",08:30~16:00,08:30~12:30,08:30~16:00,08:30~12:30,08:30~16:00,08:30~12:30,-,-
208,지오요양병원,응급의료기관 이외 > 요양병원,064-759-5080,제주특별자치도 제주시 서광로 222 (삼도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
209,한국건강관리협회건강증진치과의원,응급의료기관 이외 > 치과의원,064-740-0342,제주특별자치도 제주시 연북로 111 (연동),07:30~16:30,07:30~16:30,07:30~16:30,07:30~16:30,07:30~16:30,07:30~12:30,-,-
210,늘봄재활요양병원,응급의료기관 이외 > 요양병원,064-752-0022,제주특별자치도 제주시 관덕로 30 (삼도이동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
211,토마토요양병원,응급의료기관 이외 > 요양병원,064-729-5000,제주특별자치도 제주시 동광로 42 (이도이동),08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,08:00~17:30,-,-,-
212,제주제일요양병원,응급의료기관 이외 > 요양병원,064-711-2210,제주특별자치도 제주시 연삼로 16 (연동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~11:30,-,-
213,사회복지법인인효원제주복지요양병원,응급의료기관 이외 > 요양병원,064-747-1410,"제주특별자치도 제주시 동광로 96, 동부빌딩 지하2, 지상3층 (이도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
214,제주대학교병원,지역응급의료센터 > 종합병원,064-717-1114,제주특별자치도 제주시 아란13길 15 (아라일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
215,한림산치과의원,응급의료기관 이외 > 치과의원,064-803-0818,"제주특별자치도 제주시 한림읍 한림로 665-1, 2층",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-
216,봄길의원,응급의료기관 이외 > 의원,064-712-8448,"제주특별자치도 제주시 삼무로 18, 제주연동 하우스디어반 2층 201~205호 (연동)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,09:00~12:30,-,-
217,예인치과의원,응급의료기관 이외 > 치과의원,064-711-2842,"제주특별자치도 제주시 1100로 3342, 3층 (노형동)",09:30~19:00,09:30~20:00,09:30~19:00,09:30~12:30,09:30~20:00,09:30~12:30,-,-
218,아라요양병원,응급의료기관 이외 > 요양병원,064-729-6000,제주특별자치도 제주시 한북로 309 (아라일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
219,제주의료원부속요양병원,응급의료기관 이외 > 요양병원,064-720-2204,"제주특별자치도 제주시 산천단남길 10 (아라일동, 제주의료원)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-
220,심미치과의원,응급의료기관 이외 > 치과의원,064-900-2378,"제주특별자치도 제주시 승천로 58, 2층 (아라이동)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~12:30,-,-
221,세화한의원,응급의료기관 이외 > 한의원,064-784-1075,제주특별자치도 제주시 구좌읍 구좌로 47,08:00~20:00,08:00~17:00,08:00~17:00,08:00~20:00,08:00~17:00,08:00~13:00,-,-
222,유디치과의원,응급의료기관 이외 > 치과의원,064-758-1501,제주특별자치도 제주시 중앙로14길 8 (이도일동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:30,-,-
223,프라임치과의원,응급의료기관 이외 > 치과의원,064-745-7528,제주특별자치도 제주시 도령로 7 (노형동),09:30~18:30,09:30~18:30,09:30~12:30,09:30~18:30,09:30~18:30,09:30~12:00,-,-
224,고신경정신과의원,응급의료기관 이외 > 의원,064-722-3185,제주특별자치도 제주시 서광로 203 (삼도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
225,서울가정의학과의원,응급의료기관 이외 > 의원,064-783-0369,제주특별자치도 제주시 조천읍 신촌4길 2 201동 101호 (에스디빌 신촌2차),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
226,탑동병원,응급의료기관 이외 > 병원,064-754-1023,제주특별자치도 제주시 탑동로 26 (삼도이동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:30,-,-
227,로하스의원,응급의료기관 이외 > 의원,064-756-7582,"제주특별자치도 제주시 구남동8길 58, 3층 (아라일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-
228,오케이치과의원,응급의료기관 이외 > 치과의원,064-748-7528,"제주특별자치도 제주시 월랑로 38, 3,4층 (노형동)",09:10~17:40,09:10~17:40,09:10~17:40,09:10~17:40,09:10~17:40,09:10~12:40,-,-
229,365제주의원,응급의료기관 이외 > 의원,064-753-4645,"제주특별자치도 제주시 서광로 302, 2,3,4,5,6층 (이도이동)",07:30~16:30,07:30~16:30,07:30~16:30,07:30~16:30,07:30~16:30,07:30~12:00,-,-
230,양경필치과의원,응급의료기관 이외 > 치과의원,064-745-7769,제주특별자치도 제주시 공항로1길 46(용담이동),09:30~18:00,09:30~18:00,-,09:30~18:00,09:30~18:00,09:30~12:30,-,-
231,현광철정형외과의원,응급의료기관 이외 > 의원,064-744-2500,"제주특별자치도 제주시 노형8길 3, 1,2층 (노형동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,08:30~18:00,08:30~12:30,-,-
232,전원중속내과의원,응급의료기관 이외 > 의원,064-722-2588,"제주특별자치도 제주시 고마로 84, 효은빌딩 2층 (일도이동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-
233,서울안과의원,응급의료기관 이외 > 의원,064-745-0500,"제주특별자치도 제주시 1100로 3333, 3층 (노형동)",08:30~18:00,08:30~18:00,08:30~12:00,08:30~18:00,08:30~18:00,08:30~12:00,-,-
234,e편한치과의원,응급의료기관 이외 > 치과의원,064-758-2800,제주특별자치도 제주시 연북로 527 (아라일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
235,한림이비인후과의원,응급의료기관 이외 > 의원,064-796-5535,제주특별자치도 제주시 한림읍 명랑로 6,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-
236,아름다운피부과의원,응급의료기관 이외 > 의원,064-746-7114,"제주특별자치도 제주시 도령로 5, 2,3,5,7층 (노형동, 명은빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-
237,김명환치과의원,응급의료기관 이외 > 치과의원,064-757-5432,제주특별자치도 제주시 서광로 240 (삼도일동),09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,-,-,-
238,밝은한의원,응급의료기관 이외 > 한의원,064-713-2288,제주특별자치도 제주시 태성중2길 33 (일도이동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-
