"약국ID","주소","약국명","대표전화1","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업일시"
"C1103835","서울특별시 종로구 대학로9길 6 1층2층 (명륜4가)","메디칼서울약국","02-766-9000","1830","1830","1830","1830","1830","1300","1700","1300","0900","0900","0900","0900","0900","0900","0900","0900","030","79","127.00151255261187","37.58181767259504","2022-07-20 17:42:03.0"
"C1102637","서울특별시 동작구 보라매로 113 105호 (대방동 코스모빌딩)","메디칼수정약국","02-817-6087","2000","2000","2000","2000","2000","1600","1700","1300","0900","0900","0900","0900","0900","0900","0900","0900","070","55","126.92790815747838","37.49947592373222","2022-07-20 17:42:03.0"
"C1102388","서울특별시 관악구 은천로25길 69 1층(봉천동삼성프라자)","메디칼약국","02-883-4227","2200","2200","2200","2200","2200","2200","1700","1300","0900","0900","0900","0900","0900","0900","0900","0900","087","29","126.94836855986497","37.48907640389601","2022-07-20 17:42:03.0"
"C1104397","서울특별시 강서구 공항대로41길 75 경원프라자 110호 (등촌동)","메디칼약국","02-2668-6068","1930","1930","1930","1930","1930","1400","1700","1300","0900","0900","0900","0900","0900","0900","0900","0900","075","86","126.8461185587","37.5607918904","2022-07-20 17:42:03.0"
"C1101809","서울특별시 광진구 광나루로 355 (군자동)","메디칼약국","02-468-0259","1900","1900","1900","1900","1900","1600","1700","1300","0900","0900","0900","0900","0900","0900","0900","0900","050","03","127.06934382342012","37.54836325235825","2022-07-20 17:42:03.0"
"C1109261","서울특별시 노원구 동일로 1550 고려프라자빌딩 2층 206호 (상계동)","메디칼약국","02-933-3588","1900","1900","1900","1900","1900","1300","1700","1300","0900","0900","0900","0900","0900","0900","0900","0900","016","74","127.057549710711","37.666911617005","2022-07-20 17:42:03.0"
"C1103726","서울특별시 종로구 경교장길 35 3136호 (평동 경희궁자이 3단지)","메디칼약국","02-739-0399","1800","1800","1800","1800","1800","1300","1700","1300","0830","0830","0830","0830","0830","0830","0900","0900","031","80","126.9651453805","37.5689275157","2022-07-20 17:42:03.0"
"C1102808","서울특별시 도봉구 도봉로 677 105호 (방학동)","메디칼약국","02-3491-5119","2000","2000","2000","2000","2000","1800","1700","1300","0800","0800","0800","0800","0800","0800","0900","0900","013","40","127.04230531913481","37.66493142470252","2022-07-20 17:42:03.0"
"C1100027","서울특별시 성동구 고산자로 234","메디칼약국","02-2299-0204","2100","2100","2100","2100","2100","1800","1800","1300","0900","0900","0900","0900","0900","0900","0900","0900","047","44","127.03526740362636","37.56054593045234","2022-07-20 17:42:03.0"
"C1102638","서울특별시 마포구 월드컵로14길 5 (서교동)","메디칼약국","02-3141-4757","2130","2130","2130","2130","2130","2030","1800","1300","0900","0900","0900","0900","0900","0900","0900","0900","039","96","126.91067839392693","37.55602903507213","2022-07-20 17:42:03.0"
"C1102631","서울특별시 성북구  아리랑로  3 (동소문동6가)","메디칼약국","02-922-4265","2100","2100","2100","2100","2100","1700","1800","1300","0900","0900","0900","0900","0900","0900","0900","0900","028","30","127.01614214380187","37.59311782966887","2022-07-20 17:42:03.0"
"C1101633","서울특별시 서초구 방배로 115 (방배동)","메디칼약국","02-587-2529","1830","1830","1830","1830","1830","1500","1800","1300","0900","0900","0900","0900","0900","0900","0900","0900","066","82","126.99541858215181","37.484396948467776","2022-07-20 17:42:03.0"
"C1100729","서울특별시 노원구 동일로 1044 1층 (공릉동)","메디칼우리약국","02-971-6040","2030","2030","2030","2030","2030","1500","1800","1300","0900","0900","0900","0900","0900","0900","0900","0900","018","45","127.074050941","37.623365346499995","2022-07-20 17:42:03.0"
"C1101800","서울특별시 동작구 보라매로 106 101-1호 (신대방동)","메디칼우리약국","02-815-3011","2100","2100","2100","2100","2100","2100","1800","1300","0900","0900","0900","0900","0900","0900","0900","0900","070","53","126.92836124581436","37.498708542156635","2022-07-20 17:42:03.0"
"C1104042","서울특별시 양천구 신정이펜2로 12 이펜하우스타워 104호 (신정동)","메디칼으뜸약국","02-2691-1777","2000","2000","2000","2000","2000","1600","1600","1300","0900","0900","0900","0900","0900","0900","1000","0900","080","49","126.8328254927","37.5126063825","2022-07-20 17:42:03.0"
"C1107366","서울특별시 강남구 밤고개로21길 8 세곡프라자 107호","메디칼정성약국","02-459-6772","1830","1830","1830","1830","1830","1430","1830","1300","0800","0800","0800","0800","0800","0800","0800","0900","063","78","127.10786301777858","37.47355011777091","2022-07-20 17:42:03.0"
"C1104323","서울특별시 양천구 오목로 312 (목동)","메디칼중앙약국","02-2646-2892","1830","1830","1830","1830","1830","1500","1830","1300","0900","0900","0900","0900","0900","0900","0800","0900","080","05","126.87201729838633","37.5247179669193","2022-07-20 17:42:03.0"
"C1101552","서울특별시 강남구 남부순환로 2917  (대치동)","메디칼청실약국","02-568-3597","2100","2100","2100","2100","2100","2100","2100","2100","0900","0900","0900","0900","0900","0900","1100","1100","062","80","127.0591630950532","37.493165255033226","2022-07-20 17:42:03.0"
"C1103775","서울특별시 성북구 오패산로 49 3층 (하월곡동)","메디칼팜약국","02-909-0508","1900","1900","1900","1900","1900","1500","2100","2100","0900","0900","0900","0900","0900","0900","1100","1100","027","38","127.03647125376943","37.606479498087246","2022-07-20 17:42:03.0"
"C1103482","서울특별시 영등포구 양평로 16 1층105호(당산동6가대정프라자)","메디칼푸른약국","02-2069-2044","1850","1850","1850","1850","1850","1500","2100","2100","0900","0900","0900","0900","0900","0900","1100","1100","072","23","126.9045014254","37.532886551","2022-07-20 17:42:03.0"
"C1101525","서울특별시 중구 다산로 134 (신당동)","메디칼하나약국","02-2252-2501","2030","2030","2030","2030","2030","1800","2100","2100","0900","0900","0900","0900","0900","0900","1100","1100","045","90","127.01141698515661","37.55568385020506","2022-07-20 17:42:03.0"
"C1104107","서울특별시 강남구 남부순환로 2609 1층(도곡동 하늘빌딩)","메디칼하늘약국","02-562-9972","1800","1930","1930","1930","1930","1630","2100","2100","0930","0930","0930","0930","0930","0930","1100","1100","062","67","127.0350959805","37.4849612694","2022-07-20 17:42:03.0"
"C1107367","서울특별시 서초구 강남대로 615 1층 (잠원동 금정빌딩)","메디칼허브약국","02-540-5001","1900","1900","1900","1900","1900","1700","2100","2100","0930","0930","0930","0930","0930","0930","1100","1100","065","24","127.0189082579","37.51664073559999","2022-07-20 17:42:03.0"
"C1101526","서울특별시 강남구 영동대로86길 10  (대치동)","메디칼희민약국","02-558-6731","1330","1330","1330","1330","1330","1300","2100","2100","0900","0900","0900","0900","0900","0900","1100","1100","061","74","127.06490662199184","37.50780178301393","2022-07-20 17:42:03.0"
"C1108961","서울특별시 강남구 논현로 98 문화빌딩 2층 (개포동)","메디컬2층약국","02-575-4888","1900","2000","1900","2000","1900","1300","2100","2100","0900","0900","0900","0900","0900","0900","1100","1100","063","03","127.044797853783","37.4786083095645","2022-07-20 17:42:03.0"
"C1108915","서울특별시 강동구 양재대로121길 7 거송빌딩 103104호 (천호동)","메디컬바른약국","02-470-7994","1800","1800","1800","1800","1800","1300","2100","2100","0900","0900","0900","0900","0900","0900","1100","1100","053","16","127.141081530834","37.5422974255949","2022-07-20 17:42:03.0"
"C1108362","서울특별시 마포구 월드컵로 73 1층 (망원동)","메디컬성모약국","02-322-7707","2100","2100","2100","2100","2100","2100","2100","2100","0900","0900","0900","0900","0900","0900","1100","0900","040","13","126.91035768411635","37.5554233265758","2022-07-20 17:42:03.0"
"C1108432","서울특별시 중랑구 면목로 430 1층 (면목동)","메디컬수약국","02-3661-7575","2100","2100","2100","2100","2100","1900","2100","2100","0830","0830","0830","0830","0830","0830","1100","0900","021","60","127.08727917051252","37.59026836458007","2022-07-20 17:42:03.0"
"C1103974","서울특별시 동작구 서달로 150 207호 208호 (흑석동 해가든상가)","메디컬수약국","02-825-2911","1830","1830","1830","1830","1830","1400","2100","2100","0900","0900","0900","0900","0900","0900","1100","0900","069","80","126.9621840122","37.5066278397","2022-07-20 17:42:03.0"
"C1107084","서울특별시 영등포구 영등포로 81-1 메디컬수약국 (양평동1가)","메디컬수약국","02-875-3450","2100","2100","2100","2100","2100","1700","2100","1700","0900","0900","0900","0900","0900","0900","1100","0900","072","62","126.89072736659378","37.522365328198696","2022-07-20 17:42:03.0"
"C1107319","서울특별시 동대문구 휘경로 43 1층 (휘경동)","메디컬우리약국","02-967-1468","2000","2000","2000","2000","2000","1900","2100","1700","0900","0900","0900","0900","0900","0900","1100","0900","024","28","127.06476917178754","37.59473015852669","2022-07-20 17:42:03.0"
"C1101901","서울특별시 서초구 방배로 225 1층 (방배동 성은빌딩)","메디컬제일약국","02-593-5550","2000","2000","2000","2000","2000","1700","2100","1700","0830","0830","0830","0830","0830","0830","1100","0900","065","61","126.9897821531","37.4931652111","2022-07-20 17:42:03.0"
"C1104507","서울특별시 서초구 신반포로 157","메디케어약국","02-593-8040","1830","1830","1830","1830","1830","1500","2100","1700","0900","0900","0900","0900","0900","0900","1100","0900","065","12","127.00148089129152","37.505518052407865","2022-07-20 17:42:03.0"
"C1109030","서울특별시 강서구 화곡로 162 1층 (화곡동)","메디팜21세기약국","02-2603-4569","2000","2000","2000","2000","2000","1500","2100","1700","0900","0900","0900","0900","0900","0900","1100","0900","077","15","126.839889999096","37.5412543091125","2022-07-20 17:42:03.0"
"C1107596","서울특별시 강동구 아리수로93길 27 강일타워 106호","메디팜강일약국","02-426-8800","2100","2100","2100","2100","2100","2100","2100","1700","0900","0900","0900","0900","0900","0900","1700","0900","052","11","127.1738171037","37.5656223914","2022-07-20 17:42:03.0"
"C1102747","서울특별시 은평구 수색로 270-1","메디팜건강약국","02-372-9791","2200","2200","2200","2200","2200","1600","2100","1700","0900","0900","0900","0900","0900","0900","1700","0900","034","89","126.89453438369813","37.58291885234378","2022-07-20 17:42:03.0"
"C1103114","서울특별시 도봉구 도봉로 487 1층 (쌍문동)","메디팜건강약국","02-906-1800","2130","2130","2130","2130","2130","2000","2100","1700","0830","0830","0830","0830","0830","0830","1700","0900","014","43","127.0346518429","37.6491408599","2022-07-20 17:42:03.0"
"C1101529","서울특별시 은평구 응암로22길 15-1 (응암동)","메디팜경약국","02-386-9507","2100","2100","2100","2100","2100","2000","2100","2000","0900","0900","0900","0900","0900","0900","1700","0900","034","66","126.91998214266115","37.59373657664897","2022-07-20 17:42:03.0"
"C1103080","서울특별시 양천구 목동동로 379 (목동)","메디팜금빛약국","02-2645-0340","2000","2000","2000","2000","2000","1600","2100","2000","0900","0900","0900","0900","0900","0900","1700","0900","079","83","126.87875754618413","37.53560517116819","2022-07-20 17:42:03.0"
"C1102748","서울특별시 양천구 남부순환로40가길 15-1 (신월동)","메디팜금성약국","02-2605-7281","2130","2130","2130","2130","2130","2130","2100","2000","0900","0900","0900","0900","0900","0900","1700","0900","079","11","126.82517569391072","37.53357782515028","2022-07-20 17:42:03.0"
"C1101530","서울특별시 서초구 서운로 207 삼호종합상가 106호 (서초동)","메디팜나리약국","02-3482-4585","1930","1930","1930","1930","1930","1930","2100","2000","0830","0830","0830","0830","0830","0830","1700","0900","066","08","127.02174683129314","37.50163121559387","2022-07-20 17:42:03.0"
"C1101721","서울특별시 용산구 한강대로 211","메디팜나은약국","02-373-8068","2030","2030","2030","2030","2030","1800","2100","2000","0900","0900","0900","0900","0900","0900","1700","0900","043","22","126.97309511581719","37.5371395775145","2022-07-20 17:42:03.0"
"C1104613","서울특별시 중구 다산로 223 신당빌딩 (신당동)","메디팜늘봄약국","02-2233-9700","1900","1900","1900","1900","1900","1800","2100","2000","0830","0830","0830","0830","0830","0900","1700","0900","046","11","127.01522593950078","37.56315201515426","2022-07-20 17:42:03.0"
"C1101682","서울특별시 성동구 행당로 87","메디팜대림약국","02-2281-6377","2000","2000","2000","2000","2000","1700","2100","2000","0900","0900","0900","0900","0900","1300","1700","0900","047","13","127.02857500394613","37.5572572388776","2022-07-20 17:42:03.0"
"C1102734","서울특별시 송파구 송이로 87 1층 (가락동)","메디팜대신M약국","02-448-1121","2000","2000","2000","2000","2000","1500","2100","2000","0900","0900","0900","0900","0900","0900","1700","0900","057","06","127.12098924794103","37.49809526749219","2022-07-20 17:42:03.0"
"C1101683","서울특별시 금천구 시흥대로 352","메디팜대안약국","02-803-8452","2200","2200","2200","2200","2200","2200","2130","2000","0900","0900","0900","0900","0900","0900","0900","0900","086","16","126.89796287208311","37.464787075970406","2022-07-20 17:42:03.0"
"C1101684","서울특별시 강서구 강서로 56 (화곡동)","메디팜대야약국","02-2608-9074","2000","2000","2000","2000","2000","1900","1900","2000","0900","0900","0900","0900","0900","0900","0900","0900","077","56","126.84643415477208","37.5327568377259","2022-07-20 17:42:03.0"
"C1103502","서울특별시 은평구 진흥로1길 2 (역촌동)","메디팜대원약국","02-359-2720","2100","2100","2100","2100","2100","2100","2100","2000","0900","0900","0900","0900","0900","0900","1200","0900","034","08","126.918954954084","37.6005931243574","2022-07-20 17:42:03.0"
"C1107744","서울특별시 송파구 충민로2길 24 리더스프라자 104호 (장지동)","메디팜더미소약국","070-5097-4461","2100","2100","2100","2100","2100","2100","2100","2000","0900","0900","0900","0900","0900","0900","0900","0900","058","16","127.1272828524","37.477643001","2022-07-20 17:42:03.0"
"C1109387","서울특별시 서대문구 신촌로 239-1 1층 (북아현동)","메디팜덕인약국","02-363-0888","1800","1800","1800","1800","1800","1600","2100","2000","0900","0900","0900","0900","0900","0900","0900","0900","037","74","126.952684151422","37.5574044808484","2022-07-20 17:42:03.0"
"C1103795","서울특별시 동대문구 한천로 55 (답십리동)","메디팜동아약국","02-2243-6837","2000","2000","2000","2000","2000","1600","1800","2000","0900","0900","0900","0900","0900","0900","1300","0900","026","17","127.06193777409248","37.566896277451285","2022-07-20 17:42:03.0"
"C1101717","서울특별시 서초구 사임당로 157 4층 (서초동)","메디팜동양약국","02-582-8943","1500","1500","1500","1500","1500","1330","1800","2000","0900","0900","0900","0900","0900","0900","1300","0900","066","25","127.026808593","37.492463429699995","2022-07-20 17:42:03.0"
"C1107118","서울특별시 구로구 도림로 75 1층 (구로동 한진빌딩)","메디팜동진약국","02-869-6183","1700","1700","1700","1700","1700","1400","1800","2000","0900","0900","0900","0900","0900","0900","1300","0900","083","12","126.89224482744915","37.49167142383733","2022-07-20 17:42:03.0"
"C1101718","서울특별시 서초구 효령로2길 4 (방배동)","메디팜메트로약국","02-597-7586","2100","2100","2100","2100","2100","1900","1800","2000","0900","0900","0900","0900","0900","0900","1300","0900","066","99","126.98656016876606","37.476323230862796","2022-07-20 17:42:03.0"
"C1106935","서울특별시 강남구 논현로159길 10 (신사동) 1층일부","메디팜무지개약국","02-515-7533","2000","2000","2000","2000","2000","1700","1800","2000","0900","0900","0900","0900","0900","0900","1300","0900","060","31","127.02743496206405","37.52313709688577","2022-07-20 17:42:03.0"
"C1102735","서울특별시 강동구 구천면로 200 (천호동)","메디팜문화약국","02-475-0043","2100","2100","2100","2100","2100","1800","1800","2000","0900","0900","0900","0900","0900","0900","1300","0900","053","29","127.12680087327955","37.540281329745085","2022-07-20 17:42:03.0"
"C1101719","서울특별시 강동구 천호대로 1467 (상일동)","메디팜미래로약국","02-426-4793","2130","2130","2130","2130","2130","2130","1800","2130","0900","0900","0900","0900","0900","0900","1300","0900","052","83","127.17121471412403","37.5463743762898","2022-07-20 17:42:03.0"
"C1104025","서울특별시 용산구 청파로47길 40 (청파동2가)","메디팜미래로약국","02-713-8716","2200","2200","2200","2200","2200","2200","2200","2130","0830","0830","0830","0830","0830","0830","1000","0900","043","09","126.96824097940988","37.54484990953206","2022-07-20 17:42:03.0"
"C1108001","서울특별시 중구 서소문로 103 배재빌딩 511호 (서소문동)","5층사랑약국","02-6933-5177","1900","1900","1900","1900","1900","1800","1700","2000","0830","0830","0830","0830","0830","0900","0930","0900","045","16","126.9726681333","37.5630153591","2022-07-20 17:41:59.0"
"C1103956","서울특별시 강북구 도봉로 34","메디팜미소약국","02-989-9917","1900","1900","1900","1900","1900","1600","2200","2130","0900","0900","0900","0900","0900","0900","1000","0900","012","20","127.030715036056","37.612058291622716","2022-07-20 17:42:03.0"
"C1103332","서울특별시 성북구 돌곶이로 45 (석관동)","메디팜믿음약국","02-963-3249","1900","1900","1900","1900","1900","1500","2200","2130","0900","0900","0900","0900","0900","0900","1000","0900","027","88","127.05957116245447","37.60815044673514","2022-07-20 17:42:03.0"
"C1107675","서울특별시 광진구 용마산로 4 1층 (중곡동)","메디팜백악관약국","02-457-6363","2000","2000","2000","2000","2000","1600","2200","2130","0900","0900","0900","0900","0900","0900","1000","0900","049","53","127.0887534054","37.554047274","2022-07-20 17:42:03.0"
"C1101704","서울특별시 성북구 오패산로 57 1층 (하월곡동)","메디팜백약국","02-912-6200","1900","1900","1900","1900","1900","2000","2200","2130","0800","0800","0800","0800","0800","0800","1000","0900","027","37","127.03632139012498","37.60735724965384","2022-07-20 17:42:03.0"
"C1103621","서울특별시 성동구 아차산로7길 19 (성수동2가)","메디팜보배약국","02-461-5666","2100","2100","2100","2100","2100","2100","2100","2130","0900","0900","0900","0900","0900","0900","0900","0900","047","93","127.0546881697986","37.54686718257659","2022-07-20 17:42:03.0"
"C1104177","서울특별시 동대문구 망우로18길 6 1층 (휘경동)","메디팜사랑약국","02-2213-5005","1800","1800","1800","1800","1400","2100","1800","2130","0900","0900","0900","0900","0900","0900","0900","0900","024","99","127.0623094158229","37.589644199531314","2022-07-20 17:42:03.0"
"C1104502","서울특별시 강서구 화곡로 138 1층 (화곡동)","메디팜사랑약국","02-2601-8498","1930","1930","1930","1930","1930","1500","1800","2130","0900","0900","0900","0900","0900","0900","0900","0900","077","15","126.8371173965","37.5404425015","2022-07-20 17:42:03.0"
"C1101724","서울특별시 은평구 연서로 332 (불광동)","메디팜삼보약국","02-387-2830","2030","2030","2030","2030","2030","2030","1800","2130","0800","0800","0800","0800","0800","0800","0900","0900","033","46","126.928805555555556","37.624813888888887","2022-07-20 17:42:03.0"
"C1109042","서울특별시 종로구 새문안로3길 15 동원빌딩 1층 (당주동)","메디팜삼현약국","02-722-8468","2030","2030","2030","2030","2130","1600","1800","2130","0830","0830","0830","0830","0830","1000","0900","0900","031","75","126.972300686793","37.5717056482532","2022-07-20 17:42:03.0"
"C1108244","서울특별시 은평구 서오릉로 191 1층 (구산동)","메디팜상록약국","02-355-0050","2000","2000","2000","2000","2000","1600","1800","2130","0930","0930","0930","0930","0930","1000","0900","0900","034","10","126.9121819445","37.6133297121","2022-07-20 17:42:03.0"
"C1109148","서울특별시 마포구 상암산로1길 73 월드프라자 103호 (상암동)","메디팜상암약국","02-3291-5879","1900","1900","1900","1900","1900","1400","1800","2130","0900","0900","0900","0900","0900","0900","0900","0900","039","05","126.88320489546","37.5801632645329","2022-07-20 17:42:03.0"
"C1108354","서울특별시 노원구 동일로 1547 동남빌딩 1층 102호 (상계동)","메디팜샛별약국","02-951-1176","2100","2100","2100","2100","2100","2000","1800","2130","0830","0830","0830","0830","0830","0830","0900","0900","016","20","127.05693387753065","37.666557199847944","2022-07-20 17:42:03.0"
"C1104306","서울특별시 양천구 목동동로 59 104호(신정동로얄프라자)","메디팜서울약국","02-2646-2680","2100","2100","2100","2100","2100","2100","1800","1900","0900","0900","0900","0900","0900","0900","0900","0930","080","93","126.86160940327545","37.51504027589448","2022-07-20 17:42:03.0"
"C1101727","서울특별시 양천구 남부순환로40길 63 1층 (신월동)","메디팜성화약국","02-2604-6148","1930","1930","1930","1930","1930","1300","1800","1900","0900","0900","0900","0900","0900","0900","0900","0930","079","12","126.82648053821809","37.53293463935749","2022-07-20 17:42:03.0"
"C1103306","서울특별시 강북구 삼양로 433 삼원빌딩 1층 (수유동)","메디팜수유대학약국","02-991-0361","2000","2000","2000","2000","2000","1700","1800","1900","0900","0900","0900","0900","0900","0900","0900","0930","010","34","127.01642916244809","37.64202342874461","2022-07-20 17:42:03.0"
"C1109181","서울특별시 서초구 바우뫼로35길 28 1층 (양재동)","메디팜숲약국","02-6409-7061","2000","2000","2000","2000","2000","1600","1800","1900","0900","0900","0900","0900","0900","0900","0900","0930","067","44","127.03882290518","37.4797401993471","2022-07-20 17:42:03.0"
"C1102322","서울특별시 은평구 가좌로 325 (신사동)","메디팜승윤약국","02-302-0726","1830","1830","1830","1830","1830","1400","1800","1900","0900","0900","0900","0900","0900","0900","0900","0930","034","40","126.9089680508","37.5962300942","2022-07-20 17:42:03.0"
"C1104194","서울특별시 마포구 창전로 45 103동 108호 (창전동 서강한화오벨리스크 단지내 상가)","메디팜신마포약국","02-706-7656","2200","2200","2200","2200","2200","1800","1800","1900","0900","0900","0900","0900","0900","0900","0900","0930","040","86","126.93200419443042","37.54686387838397","2022-07-20 17:42:03.0"
"C1102729","서울특별시 양천구 신목로 36 102호 (신정동 대보빌딩)","메디팜신정교약국","02-2649-8275","2500","2500","2500","2500","2500","2500","2500","2500","0900","0900","0900","0900","0900","0900","2200","2200","080","15","126.87380548302056","37.51888139649108","2022-07-20 17:42:03.0"
"C1106939","서울특별시 강남구 논현로160길 13 1층 101호 (신사동)","메디팜압구정약국","02-547-7585","2000","2000","2000","2000","2030","1700","2500","2500","0930","0930","0930","0930","0930","0900","2200","2200","060","25","127.02910906775828","37.52278350313347","2022-07-20 17:42:03.0"
"C1102730","서울특별시 송파구 올림픽로 212 2층 220호 (잠실동 갤러리아팰리스)","메디팜양의약국","02-423-0683","2030","2030","2030","2030","2030","1800","2500","2500","0900","0900","0900","0900","0900","0900","2200","2200","055","53","127.09358084753157","37.51147200925888","2022-07-20 17:42:03.0"
"C1102136","서울특별시 강서구 양천로57길 13","가양메디칼약국","02-3661-3055","1830","1830","1830","1830","1830","1600","1900","1900","0815","0815","0815","0815","0815","0815","0900","0900","075","27","126.85202720064106","37.56360237123683","2022-07-20 17:41:59.0"
"C1108073","서울특별시 동작구 노량진로 152 . 1층 (노량진동)","메디팜엔비약국","02-811-7723","2230","2230","2230","2230","2230","2230","2200","2230","0830","0830","0830","0830","0830","0830","1300","0830","069","22","126.9427301945","37.5134460199","2022-07-20 17:42:03.0"
"C1101439","서울특별시 송파구 올림픽로 119 1층 A12호 (잠실동 파인애플상가 1층 A12호)","메디팜우리약국","02-414-5747","2130","2130","2130","2130","2130","2130","2200","2230","0930","0930","0930","0930","0930","0930","1300","0830","055","01","127.0841884297","37.5120856031","2022-07-20 17:42:03.0"
"C1107743","서울특별시 송파구 올림픽로35길 10 B동 212-1호 (신천동 파크리오)","메디팜우주약국","02-425-2777","1800","1800","1800","1800","1800","1500","2200","2230","0900","0900","0900","0900","0900","0900","1300","0830","055","07","127.1132650487","37.5203144895","2022-07-20 17:42:03.0"
"C1101441","서울특별시 서초구 효령로46길 14 (서초동)","메디팜유일약국","02-585-2260","2000","2000","2000","2000","2000","1800","2200","2230","0900","0900","0900","0900","0900","0900","1300","0830","067","09","127.00876019326445","37.48278210502232","2022-07-20 17:42:03.0"
"C1103283","서울특별시 서초구 잠원로14길 29  (잠원동)","메디팜은강약국","02-593-3245","2200","2200","2200","2200","2200","2200","2200","2230","0930","0930","0930","0930","0930","0930","1300","0830","065","15","127.0154517216","37.517852187","2022-07-20 17:42:03.0"
"C1103677","서울특별시 노원구 덕릉로126길 11 (상계동)","메디팜은아약국","02-951-5541","2100","2100","2100","2100","2100","2030","2200","2230","0900","0900","0900","0900","0900","0900","1300","0830","016","43","127.0819345856197","37.67063044289467","2022-07-20 17:42:03.0"
"C1101442","서울특별시 강서구 양천로 72","메디팜인정약국","02-2664-1121","1900","1900","1900","1900","1900","1600","2200","2230","0830","0830","0830","0830","0830","0830","1300","0830","076","04","126.81181771509767","37.57322842325507","2022-07-20 17:42:03.0"
"C1104874","서울특별시 성동구 용답중앙길 80-1","메디팜일진약국","02-2245-3665","2200","2200","2200","2200","2200","1600","1800","2230","0900","0900","0900","0900","0900","0830","0900","0830","048","05","127.05412924781345","37.56266733977388","2022-07-20 17:42:03.0"
"C1101450","서울특별시 양천구 목동남로4길 32 (신정동)","메디팜장약국","02-2645-7395","1930","1930","1930","1930","1930","1700","1800","2230","0930","0930","0930","0930","0930","0930","0900","0830","081","04","126.8660680621","37.5088248929","2022-07-20 17:42:03.0"
"C1107236","서울특별시 강서구 마곡중앙5로 87 107호 (마곡동 우성르보아투)","메디팜정다운약국","02-2664-1088","2200","2200","2200","2200","2200","1900","1800","2230","0900","0900","0900","0900","0900","0900","0900","0830","075","99","126.8177759948","37.5671738418","2022-07-20 17:42:03.0"
"C1104178","서울특별시 강남구 강남대로 256","메디팜정연약국","02-522-5925","2030","2030","2030","2030","2030","1700","1800","2230","0830","0830","0830","0830","0830","0830","0900","0830","062","66","127.03352898676388","37.48647739858547","2022-07-20 17:42:03.0"
"C1104666","서울특별시 강동구 천호대로 1200","메디팜정원약국","02-477-6126","2200","2200","2200","2200","2200","2000","1800","2230","0900","0900","0900","0900","0900","0900","0900","0830","053","61","127.14478522921843","37.534641439033045","2022-07-20 17:42:03.0"
"C1102732","서울특별시 구로구 오리로 1270 (궁동)","메디팜제일약국","02-2684-3804","1930","1930","1900","1900","1900","1300","1800","2230","0900","0900","0900","0900","0900","0900","0900","0830","082","56","126.830733333333328","37.495047222222219","2022-07-20 17:42:03.0"
"C1103466","서울특별시 용산구 청파로 324 1층 (청파동1가)","메디팜최약국","02-715-6009","2000","2000","2000","2000","2000","1600","1800","2230","0830","0830","0830","0830","0830","0900","0900","0830","043","01","126.97022909509724","37.54860601138049","2022-07-20 17:42:03.0"
"C1104400","서울특별시 도봉구 도봉로 488","메디팜큰사랑약국","02-907-7582","2100","2100","2100","2100","2100","2100","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","014","54","127.0352682103","37.6489965199","2022-07-20 17:42:03.0"
"C1103620","서울특별시 강서구 강서로 293-1 (내발산동)","메디팜푸른약국","02-2661-2001","1830","1830","1830","1830","1830","1400","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","076","39","126.83600352686989","37.55202959232725","2022-07-20 17:42:03.0"
"C1107283","서울특별시 성동구 무학로 33","메디팜푸른약국","02-6015-2500","2030","2030","2030","2030","2030","1700","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","047","02","127.02614290415626","37.56768041482349","2022-07-20 17:42:03.0"
"C1101490","서울특별시 송파구 동남로 189 가락쌍용아파트 101호 (가락동)","메디팜푸른약국","02-400-4201","2000","2000","2000","2000","2000","1900","2100","2100","0900","0900","0900","0900","0900","0900","0900","0900","058","23","127.12987719151457","37.494668773430426","2022-07-20 17:42:03.0"
"C1101492","서울특별시 송파구 송파대로 365 (석촌동)","메디팜하나약국","02-2202-7109","2000","2000","2000","2000","2000","1800","1300","2100","0800","0800","0800","0800","0800","0800","0900","0900","056","97","127.11108627466606","37.500404361547915","2022-07-20 17:42:03.0"
"C1101493","서울특별시 강북구 오현로32길 3 (번동)","메디팜한마음약국","02-988-0247","2030","2030","2030","2030","2030","1830","1300","2100","0900","0900","0900","0900","0900","0900","0900","0900","012","24","127.039711111111117","37.628733333333336","2022-07-20 17:42:03.0"
"C1101495","서울특별시 성동구 행당로 84 132호 (행당동 행당한진타운종합상가)","메디팜한솔약국","02-2282-7948","2000","2000","2000","2000","2000","2000","1300","2100","0900","0900","0900","0900","0900","0900","0900","0900","047","17","127.02874646314241","37.556567489012295","2022-07-20 17:42:03.0"
"C1102702","서울특별시 성동구 성수일로 39","메디팜호정약국","02-461-0245","2000","2000","2000","2000","2000","1700","1300","2100","0900","0900","0900","0900","0900","0900","0900","0900","047","79","127.04934558627949","37.54414303551251","2022-07-20 17:42:03.0"
