NO,병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
119,고은미(美)의원,응급의료기관 이외 > 의원,064-763-1231,"제주특별자치도 서귀포시 일주동로 8707, 위너스빌딩 2층 (서귀동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,-,-
120,정안과의원,응급의료기관 이외 > 의원,064-733-3346,제주특별자치도 서귀포시 중정로 54-1 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,09:00~11:00,09:00~12:00
121,중앙의원,응급의료기관 이외 > 의원,064-794-7274,제주특별자치도 서귀포시 대정읍 상모로 313 (중앙의원),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,09:00~12:00,09:00~12:00,09:00~12:00
122,시원한이비인후과의원,응급의료기관 이외 > 의원,064-763-5075,제주특별자치도 서귀포시 중정로 65-1 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,09:00~12:30
123,제일산부인과의원,응급의료기관 이외 > 의원,064-733-2312,제주특별자치도 서귀포시 동문로 46 (서귀동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:00,-,08:30~12:00
124,중문삼성연합의원,응급의료기관 이외 > 의원,064-738-6300,"제주특별자치도 서귀포시 중문로 7, 2,3층 (중문동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,-,-
125,하나의원,응급의료기관 이외 > 의원,064-762-6022,제주특별자치도 서귀포시 중정로 76 (서귀동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
126,한관지이비인후과의원,응급의료기관 이외 > 의원,064-733-2220,제주특별자치도 서귀포시 중정로 56-1 (서귀동) (서귀동),08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~18:00,08:30~12:30,-,08:30~12:30
127,현대산부인과의원,응급의료기관 이외 > 의원,064-763-8889,제주특별자치도 서귀포시 동문로 61 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,09:00~12:00
128,효돈중앙의원,응급의료기관 이외 > 의원,064-733-6007,제주특별자치도 서귀포시 하신상로 32 (하효동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:00,-,-
129,삼성신경외과의원,응급의료기관 이외 > 의원,064-732-8575,"제주특별자치도 서귀포시 중앙로 86 (서귀동, 동산프라자약국)",08:30~19:00,08:30~19:00,08:00~12:30,08:30~19:00,08:30~19:00,08:00~12:30,-,-
130,동의한의원,응급의료기관 이외 > 한의원,064-733-0124,제주특별자치도 서귀포시 중정로73번길 2 (서귀동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-
131,고운부부치과의원,응급의료기관 이외 > 치과의원,064-762-2879,"제주특별자치도 서귀포시 일주동로 8700, 2층 (서홍동, 대승빌딩)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:30,-,-
132,광장한의원,응급의료기관 이외 > 한의원,064-733-2164,"제주특별자치도 서귀포시 동문로 4, 현대자동차 2층 (서귀동)",08:30~17:30,08:30~20:30,08:30~17:30,08:30~20:30,08:30~17:30,09:00~13:00,-,-
133,우리한의원,응급의료기관 이외 > 한의원,064-738-0175,제주특별자치도 서귀포시 이어도로 924 (법환동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
134,서울정형외과의원,응급의료기관 이외 > 의원,064-763-4973,"제주특별자치도 서귀포시 월드컵로 8 (강정동, 서울정형외과의원)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,09:00~13:00
135,성산제일정형외과의원,응급의료기관 이외 > 의원,064-900-2456,제주특별자치도 서귀포시 성산읍 동류암로36번길 16,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,-,-,-
136,성산보건지소,응급의료기관 이외 > 보건지소,064-782-2368,"제주특별자치도 서귀포시 성산읍 고성오조로 42, 성산보건지소",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
137,남원한의원,응급의료기관 이외 > 한의원,064-764-9600,제주특별자치도 서귀포시 남원읍 태위로 709,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,09:00~12:00
138,위미한의원,응급의료기관 이외 > 한의원,064-764-7975,"제주특별자치도 서귀포시 남원읍 태위로 179, 위미신협",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
139,유동욱한의원,응급의료기관 이외 > 한의원,064-732-4346,제주특별자치도 서귀포시 일주동로 8572 (동홍동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,09:00~19:00
140,표선하늘의원,응급의료기관 이외 > 의원,064-787-3883,제주특별자치도 서귀포시 표선면 표선동서로 246,08:30~18:00,08:30~18:00,08:30~16:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
141,유진한의원,응급의료기관 이외 > 한의원,064-733-6996,제주특별자치도 서귀포시 동문로 36 (서귀동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-
142,안덕의원,응급의료기관 이외 > 의원,064-794-0906,제주특별자치도 서귀포시 안덕면 화순로 112,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,08:30~13:00
143,중문한의원,응급의료기관 이외 > 한의원,064-738-3375,제주특별자치도 서귀포시 천제연로 182 (중문동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00
144,생생한의원,응급의료기관 이외 > 한의원,064-738-7530,"제주특별자치도 서귀포시 대포중앙로 14, 2층 (대포동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
145,양동호한의원,응급의료기관 이외 > 한의원,064-900-3375,제주특별자치도 서귀포시 서문로 2 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
146,형제한의원,응급의료기관 이외 > 한의원,064-733-7976,제주특별자치도 서귀포시 중정로 104 (서귀동),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~13:00,-,-
147,한남보건진료소,응급의료기관 이외 > 보건진료소,064-760-6372,"제주특별자치도 서귀포시 남원읍 남한로420번길 13, 한남보건진료소",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
148,삼달보건진료소,응급의료기관 이외 > 보건진료소,064-760-6381,"제주특별자치도 서귀포시 성산읍 삼달로 215, 삼달보건진료소",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
149,성읍보건진료소,응급의료기관 이외 > 보건진료소,064-760-6377,"제주특별자치도 서귀포시 표선면 성읍정의현로 92, 성읍1리보건진료소",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
150,의귀보건진료소,응급의료기관 이외 > 보건진료소,064-760-6373,제주특별자치도 서귀포시 남원읍 한신로 201,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
151,신풍보건진료소,응급의료기관 이외 > 보건진료소,064-760-6379,"제주특별자치도 서귀포시 성산읍 풍천로192번길 40-1, 신풍보건진료소",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
152,모슬포한의원,응급의료기관 이외 > 한의원,064-792-1075,제주특별자치도 서귀포시 대정읍 신영로94번길 2,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
153,백록한의원,응급의료기관 이외 > 한의원,064-792-1175,제주특별자치도 서귀포시 대정읍 최남단해안로 18,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-
154,중문보건지소,응급의료기관 이외 > 보건지소,064-760-6061,"제주특별자치도 서귀포시 천제연로 277, 2층 (중문동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
155,안덕치과의원,응급의료기관 이외 > 치과의원,064-792-8275,"제주특별자치도 서귀포시 안덕면 화순로 101, 2층",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,-
156,고은의원,응급의료기관 이외 > 의원,064-794-7565,제주특별자치도 서귀포시 대정읍 상모로 323-1,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:30,-,-
157,강문보내과의원,응급의료기관 이외 > 의원,064-794-7085,제주특별자치도 서귀포시 대정읍 하모상가로 27,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:00,-,-
158,강승우치과의원,응급의료기관 이외 > 치과의원,064-794-2833,"제주특별자치도 서귀포시 대정읍 동일하모로 201, 2층 (동명식당)",09:00~18:00,09:00~18:00,09:00~12:30,09:00~18:00,09:00~18:00,09:00~12:30,-,-
159,이승훈치과의원,응급의료기관 이외 > 치과의원,064-792-2804,"제주특별자치도 서귀포시 대정읍 하모상가로 46, 3층 (경원빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
160,카멜리아의원,응급의료기관 이외 > 의원,064-794-2047,제주특별자치도 서귀포시 대정읍 영어도시로 60,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-
161,성산의원,응급의료기관 이외 > 의원,064-782-4472,제주특별자치도 서귀포시 성산읍 고성동서로56번길 16 (성산읍),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,09:00~12:00,08:00~12:00
162,표선보건지소,응급의료기관 이외 > 보건지소,064-760-6162,"제주특별자치도 서귀포시 표선면 표선중앙로 17, 표선보건지소",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
163,파티마마취통증의학과의원,응급의료기관 이외 > 의원,064-738-7893,제주특별자치도 서귀포시 천제연로 209 (중문동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,09:00~17:30,09:00~12:00,-,-
164,본의원,응급의료기관 이외 > 의원,064-733-0380,"제주특별자치도 서귀포시 일주동로 9213, 2층 (법환동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:30~18:00,09:00~13:00,-,-
165,김상훈피부비뇨기과의원,응급의료기관 이외 > 의원,064-762-7888,"제주특별자치도 서귀포시 중앙로42번길 9, (서귀동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:00~18:00,09:00~13:00,-,-
166,양재식내과의원,응급의료기관 이외 > 의원,064-732-3800,"제주특별자치도 서귀포시 동문로 2, 2층 (서귀동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00
167,중문유앤이한의원,응급의료기관 이외 > 한의원,064-739-9975,제주특별자치도 서귀포시 천제연로 206 (중문동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,-,-
168,WE병원,응급의료기관 이외 > 병원,064-730-1421,제주특별자치도 서귀포시 1100로 453-95 (회수동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
169,아름다운의원,응급의료기관 이외 > 의원,064-733-7975,제주특별자치도 서귀포시 일주동로 8671 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
170,인혜의원,응급의료기관 이외 > 의원,064-763-7890,제주특별자치도 서귀포시 중앙로 93 (서귀동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,09:00~12:30
171,고려삼성의원,응급의료기관 이외 > 의원,064-762-7524,제주특별자치도 서귀포시 중앙로 44 (서귀동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-
172,윤성현내과의원,응급의료기관 이외 > 의원,064-762-5651,제주특별자치도 서귀포시 중정로 38 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:30,-,09:00~12:30
173,원치과의원,응급의료기관 이외 > 치과의원,064-738-2855,제주특별자치도 서귀포시 중문로 7 (중문동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,09:00~12:00
174,신윤석외과의원,응급의료기관 이외 > 의원,064-739-2772,"제주특별자치도 서귀포시 월드컵로 8, 201호 (강정동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
175,한용환치과의원,응급의료기관 이외 > 치과의원,064-762-5090,제주특별자치도 서귀포시 중앙로 84 (서귀동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:00~12:00,-,-
176,그린정형외과의원,응급의료기관 이외 > 의원,064-763-7582,"제주특별자치도 서귀포시 일주동로 8544, 2층 (동홍동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:30,-,-
177,문장봉치과의원,응급의료기관 이외 > 치과의원,064-763-2833,제주특별자치도 서귀포시 서문로 2 (서귀동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-
178,김성국치과의원,응급의료기관 이외 > 치과의원,064-732-0028,제주특별자치도 서귀포시 일주동로 8673 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,09:00~18:00,09:00~12:30,-,-
179,온평보건진료소,응급의료기관 이외 > 보건진료소,064-760-6112,"제주특별자치도 서귀포시 성산읍 온평애향로23번길 6, 온평리사무소 (성산읍)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
180,해인부부한의원,응급의료기관 이외 > 한의원,064-733-6148,제주특별자치도 서귀포시 중앙로 43 (서귀동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
181,서귀포약손한의원,응급의료기관 이외 > 한의원,064-732-7725,"제주특별자치도 서귀포시 중정로 67, 제주은행 (서귀동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,08:30~12:30
182,더치과의원,응급의료기관 이외 > 치과의원,064-792-2874,"제주특별자치도 서귀포시 대정읍 에듀시티로 148, 근린생활시설동 304,305호 (삼정 G.edu)",09:30~18:30,09:30~20:00,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,-,-
183,현혜선산부인과의원,응급의료기관 이외 > 의원,064-739-0003,"제주특별자치도 서귀포시 월드컵로 8 (강정동, 홍은프라자 304호)",09:30~16:00,09:30~16:00,09:30~16:00,09:30~16:00,09:30~13:00,09:00~13:00,-,-
184,김의신치과의원,응급의료기관 이외 > 치과의원,064-764-2820,"제주특별자치도 서귀포시 남원읍 태위로 665-1, 꽃사슴한의원 (남원읍)",09:00~18:00,09:00~18:00,09:00~12:30,09:00~18:00,09:00~18:00,09:00~12:30,-,-
185,고려한의원,응급의료기관 이외 > 한의원,064-733-7066,제주특별자치도 서귀포시 신서귀로 39 (법환동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,09:00~12:30
186,강부협치과의원,응급의료기관 이외 > 치과의원,064-794-4744,제주특별자치도 서귀포시 대정읍 하모중앙로 75,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
187,서귀포시서부구억보건진료소,응급의료기관 이외 > 보건진료소,064-760-6389,제주특별자치도 서귀포시 대정읍 중산간서로 2364,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
188,서귀포시서부가파보건진료소,응급의료기관 이외 > 보건진료소,064-760-6384,제주특별자치도 서귀포시 대정읍 가파로67번길 30,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
189,서귀포시서광서보건진료소,응급의료기관 이외 > 보건진료소,064-760-6392,제주특별자치도 서귀포시 안덕면 중산간서로 2118,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
190,서귀포시동부토산보건진료소,응급의료기관 이외 > 보건진료소,064-760-6375,제주특별자치도 서귀포시 표선면 중산간동로 5561,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
191,서귀포시동부신흥보건진료소,응급의료기관 이외 > 보건진료소,064-760-6374,제주특별자치도 서귀포시 남원읍 중산간동로 5774,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
192,서귀포시동부신산보건진료소,응급의료기관 이외 > 보건진료소,064-760-6380,제주특별자치도 서귀포시 성산읍 환해장성로111번길 21-12,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
193,서귀포시동부신례보건진료소,응급의료기관 이외 > 보건진료소,064-760-6371,제주특별자치도 서귀포시 남원읍 신례중앙로 36-1,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
194,서귀포시동부수산보건진료소,응급의료기관 이외 > 보건진료소,064-763-6383,제주특별자치도 서귀포시 성산읍 수산서남로 17-1,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
195,서귀포시동부세화보건진료소,응급의료기관 이외 > 보건진료소,064-760-6376,제주특별자치도 서귀포시 표선면 세성로 302-1,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
196,서귀포시동부난산보건진료소,응급의료기관 이외 > 보건진료소,064-760-6382,제주특별자치도 서귀포시 성산읍 난산로 28,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
197,서귀포시동부가시보건진료소,응급의료기관 이외 > 보건진료소,064-760-6378,제주특별자치도 서귀포시 표선면 중산간동로 5217,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
198,서귀포서부안덕보건지소,응급의료기관 이외 > 보건지소,064-760-6261,제주특별자치도 서귀포시 화순중앙로12번길 30-9 (안덕면),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
199,베스트비뇨기과의원,응급의료기관 이외 > 의원,064-732-3939,"제주특별자치도 서귀포시 동문로 5, 201호 (서귀동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
200,한라이비인후과의원,응급의료기관 이외 > 의원,064-762-8876,제주특별자치도 서귀포시 일주동로 8675 (서귀동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
201,경희강한의원,응급의료기관 이외 > 한의원,064-900-4994,"제주특별자치도 서귀포시 대정읍 하모상가로 41, 2층 (대정읍)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
202,서울퍼스트성형외과의원,응급의료기관 이외 > 의원,064-738-7538,"제주특별자치도 서귀포시 월드컵로 8, 송산플라자 2층 202호 (강정동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~13:00,-,-
203,서귀포내과의원,응급의료기관 이외 > 의원,064-763-4053,"제주특별자치도 서귀포시 중앙로 89, 2층 (서귀동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
204,다정금이비인후과의원,응급의료기관 이외 > 의원,064-767-9289,제주특별자치도 서귀포시 일주동로 8673 (서귀동),09:10~15:50,09:10~15:50,09:10~15:50,09:10~15:50,09:10~15:50,09:10~10:50,-,-
205,대정한의원,응급의료기관 이외 > 한의원,064-792-7772,"제주특별자치도 서귀포시 대정읍 하모상가로 46, 2층",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
206,강정보건지소,응급의료기관 이외 > 보건지소,064-760-6001,"제주특별자치도 서귀포시 강정통물로 125-11, 강정보건지소 (강정동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
207,서귀포시서부보건소,응급의료기관 이외 > 보건소,064-760-6254,제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
208,서귀포시서귀포보건소,응급의료기관 이외 > 보건소,064-760-6000,"제주특별자치도 서귀포시 중앙로101번길 52, (서홍동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
209,서귀포시동부보건소,응급의료기관 이외 > 보건소,064-760-6131,제주특별자치도 서귀포시 남원읍 태위로 527,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
210,서귀포시서부신평보건진료소,응급의료기관 이외 > 보건진료소,064-760-6387,제주특별자치도 서귀포시 대정읍 중산간서로 2600,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
211,서귀포시서부신도보건진료소,응급의료기관 이외 > 보건진료소,064-760-6386,제주특별자치도 서귀포시 대정읍 도원로 37,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
212,서귀포시서부서광동보건진료소,응급의료기관 이외 > 보건진료소,064-760-6391,제주특별자치도 서귀포시 안덕면 중산간서로 1811,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
213,서귀포시서부상창보건진료소,응급의료기관 이외 > 보건진료소,064-760-6393,제주특별자치도 서귀포시 안덕면 한창로145번길 11,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
214,서귀포시서부사계보건진료소,응급의료기관 이외 > 보건진료소,064-760-6390,제주특별자치도 서귀포시 안덕면 산방로 349,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
215,서귀포시서부무릉보건진료소,응급의료기관 이외 > 보건진료소,064-760-6388,제주특별자치도 서귀포시 대정읍 중산간서로 2877,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
216,서귀포시서부마라보건진료소,응급의료기관 이외 > 보건진료소,064-760-6385,제주특별자치도 서귀포시 대정읍 마라로101번길 22,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
217,서귀포시서부대평보건진료소,응급의료기관 이외 > 보건진료소,064-760-6394,제주특별자치도 서귀포시 안덕면 대평감산로 19,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
218,새봄한의원,응급의료기관 이외 > 한의원,064-794-1077,제주특별자치도 서귀포시 대정읍 신영로 108,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:30,-,-
219,올레한의원,응급의료기관 이외 > 한의원,064-794-8253,제주특별자치도 서귀포시 대정읍 하모상가로 38-1,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,08:00~13:00,-
220,표선만수한의원,응급의료기관 이외 > 한의원,064-787-3119,제주특별자치도 서귀포시 표선면 표선중앙로 90 (GS25),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
221,강성백치과의원,응급의료기관 이외 > 치과의원,064-787-7999,제주특별자치도 서귀포시 표선면 표선중앙로 79 (표선면),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,09:00~12:00,-,-
222,남원치과의원,응급의료기관 이외 > 치과의원,064-764-2823,제주특별자치도 서귀포시 남원읍 태위로 683 (남원읍),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,-,-
223,서귀포유신경외과의원,응급의료기관 이외 > 의원,064-763-1175,제주특별자치도 서귀포시 중앙로 43 (서귀동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,08:30~13:00,-,-
224,밝은정신건강의학과의원,응급의료기관 이외 > 의원,064-733-0434,제주특별자치도 서귀포시 중앙로 91 (서귀동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-
225,투게더피부과의원,응급의료기관 이외 > 의원,064-739-4500,"제주특별자치도 서귀포시 월드컵로 8, 4층 (강정동)",09:00~18:00,09:00~18:00,09:00~12:30,09:00~18:00,09:00~18:00,09:00~12:30,-,-
226,강성현치과의원,응급의료기관 이외 > 치과의원,064-762-2793,제주특별자치도 서귀포시 동문로 30-2 (서귀동),09:00~17:00,09:00~17:00,09:00~17:00,-,09:00~17:00,09:00~12:00,-,-
227,새서귀보한의원,응급의료기관 이외 > 한의원,064-738-1075,제주특별자치도 서귀포시 신중남로 26 (법환동),09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,08:30~12:00,-,-
228,경희세림한의원,응급의료기관 이외 > 한의원,064-767-1075,"제주특별자치도 서귀포시 중앙로 81, 동산빌딩 2층 (서귀동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-
229,수내과의원,응급의료기관 이외 > 의원,064-732-1211,제주특별자치도 서귀포시 일주동로 8675 (서귀동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-
230,중문치과의원,응급의료기관 이외 > 치과의원,064-738-2875,제주특별자치도 서귀포시 천제연로 182 (중문동),09:30~18:00,09:30~18:00,09:30~13:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-
231,서울치과의원,응급의료기관 이외 > 치과의원,064-732-2828,제주특별자치도 서귀포시 중앙로 92 (서귀동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
232,미래치과의원,응급의료기관 이외 > 치과의원,064-733-7528,제주특별자치도 서귀포시 동문로 62-1 (서귀동),09:30~18:00,09:30~18:00,-,09:30~18:00,09:30~18:00,-,-,-
233,참조은치과의원,응급의료기관 이외 > 치과의원,064-733-2828,"제주특별자치도 서귀포시 동문로 2, 5층 (서귀동, 크로바안경)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
234,백상치과의원,응급의료기관 이외 > 치과의원,064-738-9240,"제주특별자치도 서귀포시 중문로 1, 1층 (중문동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-
235,장정훈치과의원,응급의료기관 이외 > 치과의원,064-763-0028,제주특별자치도 서귀포시 중정로 56-1 (서귀동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-
236,오만용치과의원,응급의료기관 이외 > 치과의원,064-763-2222,제주특별자치도 서귀포시 중정로 67 (서귀동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-
237,성수치과의원,응급의료기관 이외 > 치과의원,064-762-2828,"제주특별자치도 서귀포시 중정로 76, 2층 (서귀동)",09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,-,-,-
