,사업장명,도로명주소,경도,위도,geometry
807,프라자사랑약국,서울특별시 광진구 능동로 315 (중곡동 대남빌딩),206960.304957991,450625.255482591,POINT (962610.8152355581 1951031.4315598456)
808,한솔약국,서울특별시 광진구 아차산로 621 1층 (광장동),209405.843683882,449586.671703526,POINT (965049.8214834544 1949980.2326263255)
809,햇님약국,서울특별시 광진구 천호대로111길 19 (중곡동),207199.540340192,450567.232719707,POINT (962849.6441522227 1950972.1567746128)
810,건강한약국,서울특별시 광진구 천호대로 655 (중곡동),207859.45812424,450042.160296352,POINT (963506.4943322066 1950443.7793521)
811,센터온누리약국,서울특별시 광진구 능동로 420 (중곡동 성문빌딩),207420.749298556,451559.056523752,POINT (963076.052062301 1951962.3981518715)
812,천사약국,서울특별시 광진구 능동로 409 (중곡동),207335.124540149,451482.361459885,POINT (962990.0530786023 1951886.190872706)
813,광제사약국,서울특별시 광진구 면목로 130 1층 (중곡동),207078.482246832,451412.298304191,POINT (962733.1413511848 1951817.5247908733)
814,다솜약국,서울특별시 광진구 천호대로 671 2층 (구의동 파크타운),207932.590926797,449900.499890401,POINT (963578.8421710572 1950301.7866879408)
815,기분좋은한약국,서울특별시 광진구 능동로10길 109 (자양동),206596.011276854,448145.654197124,POINT (962233.4515828384 1948554.777811126)
816,다온약국,서울특별시 광진구 긴고랑로 41 (중곡동 대화탕),207080.733577729,451198.275900371,POINT (962734.250460905 1951603.5772596756)
817,소라약국,서울특별시 광진구 면목로 117 1층 102호 (중곡동 바론채),207003.769644514,451311.662974486,POINT (962657.9224096208 1951717.3287290167)
818,해인약국,서울특별시 광진구 아차산로33길 63 1층 (화양동),206203.335168204,448977.461867669,POINT (961845.3678102278 1949388.341322449)
819,디딤온누리약국,서울특별시 광진구 천호대로 653 1층 (중곡동),207850.438647442,450066.522171427,POINT (963497.6084034861 1950468.1794033274)
820,새동산약국,서울특별시 광진구 능동로 378 1층 (중곡동),207256.674526588,451185.817881654,POINT (962910.0535515097 1951590.1860892072)
821,기쁨약국,서울특별시 광진구 면목로 190 1층 (중곡동),207295.169137261,451966.809789853,POINT (962952.6975168843 1952370.6555088803)
822,대화약국,서울특별시 광진구 동일로 278 나성빌딩 1층 (군자동),206309.59075872,450430.884671398,POINT (961959.3284667706 1950840.6090413248)
823,튼튼온누리약국,서울특별시 광진구 아차산로 450-2 1층 (구의동),208106.526813426,448498.363474537,POINT (963745.2334180837 1948899.2936810548)
824,자양약국,서울특별시 광진구 자양로 88 광영빌딩 1층 (자양동),207380.881842195,448153.591228926,POINT (963018.0460166004 1948558.5288717335)
825,스타약국,서울특별시 광진구 능동로 103 2층일부 (화양동),206163.281973626,448682.578827966,POINT (961803.7591104488 1949093.7911662974)
826,늘편한약국,서울특별시 광진구 면목로 128 1층 101호 (중곡동),207081.397775132,451395.601315024,POINT (962735.9666550993 1951800.8190317447)
827,삼층약국,서울특별시 광진구 강변역로4길 10 강변역지너스타워 303호일부 (구의동),208189.434497483,448129.166313052,POINT (963826.1397683261 1948529.8049495488)
828,지운당한약국,서울특별시 동대문구 고산자로 469 (제기동),203311.688370133,453247.773664496,POINT (958977.658718172 1953672.3501335753)
829,세림약국,서울특별시 동대문구 약령중앙로 17-1 2층 (제기동),203183.40549984,453068.718291732,POINT (958848.4721700095 1953494.0510610302)
830,북경당한약국,서울특별시 동대문구 약령중앙로 14-3 2층 (제기동),203218.811141729,453033.809021138,POINT (958883.677362077 1953458.9669393692)
831,제중건재한약국,서울특별시 동대문구 고산자로 435 1층 (제기동),203287.352380135,452922.414254167,POINT (958951.5968242929 1953347.2512949223)
832,올리브약국,서울특별시 동대문구 장한로 130 1층 105호 (장안동),206279.689993328,452172.453180244,POINT (961938.7270127265 1952581.6315315813)
833,장안당약국,서울특별시 동대문구 고산자로 451 1층 (제기동),203302.375379719,453086.293920097,POINT (958967.4880158115 1953510.9849647288)
834,유한약국,서울특별시 동대문구 천호대로 295 2층 10호 (답십리동 우창프라자),204687.977091636,451578.200073082,POINT (960344.488060417 1951996.107711611)
835,보은한약국,서울특별시 동대문구 약령중앙로 72-2 203호 (제기동 윤주빌딩),203262.562734529,453605.062458519,POINT (958930.4589675298 1954029.7574383433)
836,설파약국,서울특별시 동대문구 전농로 134 (전농동),205057.046702129,452729.995687643,POINT (960719.5519949977 1953145.470046216)
837,홍릉종로약국,서울특별시 동대문구 홍릉로 59 1층 (청량리동),203751.762207841,453684.175983516,POINT (959419.8838597037 1954106.229144551)
838,민성약국,서울특별시 동대문구 한천로11길 32 (답십리동),205274.415547765,451656.841022174,POINT (960931.1092288427 1952071.5894219913)
839,우진당약국,서울특별시 동대문구 사가정로13길 3 1층 (전농동),205048.138960502,452869.283154469,POINT (960711.3908528002 1953284.7487916888)
840,염광당약국,서울특별시 동대문구 고산자로 472 (제기동),203357.893095918,453271.069186986,POINT (959023.9691553785 1953695.3897984836)
841,성부당약국,서울특별시 동대문구 왕산로 163-1 (제기동),203592.144168644,453003.483326636,POINT (959256.6985687582 1953426.661858203)
842,나나약국,서울특별시 동대문구 장한로18길 59 (장안동),206318.470445362,451734.740927453,POINT (961975.1572745597 1952143.8897628598)
843,은혜당한약국,서울특별시 동대문구 약령서길 32 (제기동),203134.701915767,453053.097602587,POINT (958799.7048165482 1953478.6964626166)
844,삼보약국,서울특별시 동대문구 전농로 24 (답십리동),204960.697866881,451636.873332084,POINT (960617.4117199731 1952053.3028704633)
845,수인약국,서울특별시 동대문구 장한로 119 3층 305호 (장안동 삼성쉐르빌빌딩),206101.9138443,452155.691148899,POINT (961760.9334464595 1952565.8244759091)
846,답십리백화점약국,서울특별시 동대문구 전농로 102 1층 (답십리동 목련빌딩),205049.095910832,452418.270436454,POINT (960709.9416485976 1952833.9130646558)
847,우리약국,서울특별시 동대문구 고산자로38길 18 1층 (제기동),203428.053883877,453066.365976228,POINT (959093.0097056455 1953490.3945798269)
848,한국약국,서울특별시 동대문구 약령시로 123 1층 (청량리동),203785.665343945,453440.417129855,POINT (959452.4728612661 1953862.3874943082)
849,강북열린약국,서울특별시 동대문구 전농로 110 1층 (답십리동),205042.807971023,452478.417069784,POINT (960703.9770653228 1952894.0689537525)
850,신종로사약국,서울특별시 동대문구 휘경로 47 1층 (휘경동),205678.964540095,454714.311993816,POINT (961351.8054936971 1955125.6663336528)
851,미소약국,서울특별시 동대문구 전농로 128 1층 (전농동),205117.871124,452968.332265,POINT (960781.6232355187 1953383.385924786)
852,혜민약국,서울특별시 동대문구 홍릉로 34-1 (청량리동),203851.129509511,453452.650216952,POINT (959517.9759504482 1953874.2664044288)
853,중경당약국,서울특별시 동대문구 장한로 58 1층 (장안동),205948.079966676,451539.411110155,POINT (961603.8750466276 1951950.614340101)
854,홈타운약국,서울특별시 동대문구 장안벚꽃로 107 2층 6호 (장안동 현대홈타운제1상가동),206521.405320134,451940.119059947,POINT (962179.1052598763 1952348.10237025)
855,건강약국,서울특별시 동대문구 왕산로 176 2층 (전농동),203721.241499342,452989.973649477,POINT (959385.6719109742 1953412.468938253)
856,참이화약국,서울특별시 동대문구 천호대로 307 1층 104호 (답십리동 클래식타워),204762.02916529,451508.878103131,POINT (960418.140576778 1951926.4187879676)
857,메디칼갑산약국,서울특별시 동대문구 망우로 123 1층 (휘경동),205805.123834297,454385.24391159,POINT (961476.1577846832 1954796.0581601532)
858,메디컬우리약국,서울특별시 동대문구 휘경로 43 1층 (휘경동),205652.344001265,454717.458080617,POINT (961325.2125088349 1955128.953205465)
859,시장약국,서울특별시 동대문구 왕산로 143 1층 (제기동),203395.308400587,452922.376839569,POINT (959059.5092645881 1953346.6380059815)
860,하나약국,서울특별시 동대문구 천호대로 273 1층 2호 (답십리동),204528.336851442,451728.373220658,POINT (960185.7130705471 1952147.0716756035)
861,새봄약국,서울특별시 동대문구 왕산로 185 103 105호 (청량리동),203803.484634588,453084.117645319,POINT (959468.3841806701 1953506.1363204874)
862,사랑약국,서울특별시 동대문구 왕산로 151 2층 45호 (제기동),203483.372440782,452957.620283146,POINT (959147.7259142535 1953381.3975040324)
863,늘조은온누리약국,서울특별시 동대문구 사가정로25길 66 1층 (장안동),206224.62566363,453265.4843351,POINT (961889.5154373256 1953674.5136703597)
864,쉐르빌우리약국,서울특별시 동대문구 장한로 119 323호 (장안동 장안삼성쉐르빌),206101.9138443,452155.691148899,POINT (961760.9334464595 1952565.8244759091)
865,상일약국,서울특별시 동대문구 약령중앙로 14-12 1층 (제기동),203250.653320821,453016.440432904,POINT (958915.4140950703 1953441.4354644245)
866,한성약국,서울특별시 동대문구 답십리로 140 세기프라자 106호 (답십리동),204845.874285687,452243.87695363,POINT (960505.8718560254 1952660.6739177676)
867,허브약국,서울특별시 동대문구 경희대로 19-3 1층 (회기동),204553.724988057,454549.257509538,POINT (960226.1395289339 1954966.6831296622)
868,하늘후문약국,서울특별시 동대문구 황물로 168 한성아펠시티 122123호 (답십리동),204901.263300148,451439.040451239,POINT (960556.9461049209 1951855.8667961399)
869,초원옵티마약국,서울특별시 동대문구 제기로 84 1층 (청량리동),203686.244626161,453805.131168047,POINT (959355.0379737824 1954227.4852262908)
870,오로라온누리약국,서울특별시 동대문구 서울시립대로 92 1층 (전농동),204357.666654226,452957.533390064,POINT (960021.667790703 1953376.646716033)
871,이레약국,서울특별시 동대문구 사가정로 122 전농동하우스토리 3층 313호 (전농동),205102.874915953,452765.708982856,POINT (960765.552210962 1953180.924461435)
872,문경한약국,서울특별시 동대문구 약령중앙로 13 1층 (제기동),203180.320705772,453016.452110524,POINT (958845.1097949693 1953441.8223327375)
873,일화당약국,서울특별시 동대문구 약령서길 32 1층 (제기동),203134.701915767,453053.097602587,POINT (958799.7048165482 1953478.6964626166)
874,동부메디칼약국,서울특별시 동대문구 무학로 128 (용두동),202650.962478382,452590.859945423,POINT (958313.6937738418 1953019.2248019462)
875,자연다림한약국,서울특별시 동대문구 정릉천동로 114-3 202호 (제기동),203134.601030697,453359.950985059,POINT (958801.2409720109 1953785.4271268337)
876,진명당약국,서울특별시 동대문구 약령중앙로 7 (제기동),203178.386957819,452977.373424374,POINT (958842.96835587 1953402.7696611076)
877,대학솔약국,서울특별시 동대문구 안암로 158 1층 (제기동),203048.70131139,454033.766887252,POINT (958718.9707778295 1954459.4306998376)
878,태창약국,서울특별시 동대문구 약령서길 32 3층 (제기동),203134.701915767,453053.097602587,POINT (958799.7048165482 1953478.6964626166)
879,후문약국,서울특별시 동대문구 왕산로45길 8 1층 (청량리동),204302.908830289,453544.486124736,POINT (959970.0633172801 1953963.6550442395)
880,365플러스약국,서울특별시 동대문구 천호대로 133 홈플러스 동대문점 지하2층 (용두동),203356.957362754,452469.300221465,POINT (959018.7568213599 1952893.9480669694)
881,천사약국,서울특별시 동대문구 왕산로26길 13 1층 (용두동),203161.490165952,452794.8079147,POINT (958825.1044646325 1953220.3676249874)
882,장안미소약국,서울특별시 동대문구 답십리로 305 1층 (장안동),206502.751884821,452238.326007902,POINT (962162.0498759301 1952646.2879349156)
883,늘푸른약국,서울특별시 동대문구 전농로 148 1층 (전농동),205022.703452879,452875.347821745,POINT (960685.9979642127 1953290.946693462)
884,영림약국,서울특별시 동대문구 망우로21길 16 1층 (휘경동),205435.670759423,454243.81887521,POINT (961106.0994568467 1954656.661699617)
885,그린약국,서울특별시 동대문구 장한로 129 102호 (장안동),206199.354351212,452193.577797234,POINT (961858.5365750182 1952603.1760723828)
886,정담은약국,서울특별시 동대문구 답십리로 250 1층 (장안동),205923.361703604,452237.664972317,POINT (961582.8907894167 1952648.7174504995)
887,삼대약국,서울특별시 동대문구 천호대로27길 73 2층 (용두동),203238.996827061,452797.896954422,POINT (958902.5964708978 1953223.041976279)
888,튼튼하나약국,서울특별시 동대문구 답십리로 259 1층 (장안동),206032.902348266,452280.347945058,POINT (961692.6147628599 1952690.7988892256)
889,최선약국,서울특별시 동대문구 전농로 36 (답십리동),205004.375356464,451748.804705554,POINT (960661.668524371 1952164.9561249146)
890,으뜸약국,서울특별시 동대문구 왕산로 52 102동 104호 (용두동 신설동역대우아이빌),202536.147106474,452765.865037064,POINT (958199.8579627109 1953194.7721541426)
891,두드림온누리약국,서울특별시 동대문구 천호대로 267 DANA 1층 102호 (답십리동),204481.845072292,451771.542866406,POINT (960139.4702629638 1952190.4718671795)
892,늘좋은약국,서울특별시 동대문구 천호대로 319 답십리한화오벨리스크 1층 102호 (답십리동),204884.796367996,451394.889425203,POINT (960540.2503677383 1951811.821402607)
893,해성당약국,서울특별시 동대문구 약령중앙로 4 1층 (제기동),203195.697736039,452912.216440315,POINT (958859.9246003184 1953337.5465081022)
894,외대김약국,서울특별시 동대문구 이문로 125 더 메디칼빌딩 1층 (이문동),205308.775368242,455064.205106932,POINT (960983.6331890742 1955477.393537153)
895,초록약국,서울특별시 동대문구 한천로2길 107 형인타워 103호 (장안동),205630.354628789,451134.504571525,POINT (961284.118967612 1951547.5659351284)
896,삼육정문약국,서울특별시 동대문구 망우로 86 1층 (휘경동),205479.936775273,454195.709062849,POINT (961150.0908752811 1954608.335137474)
897,인애약국,서울특별시 동대문구 휘경로 60 101동 상가동 104호 (휘경동 휘경SK VIEW 아파트),205791.554102821,454636.462886709,POINT (961463.934087803 1955047.2479027966)
898,바다약국,서울특별시 동대문구 왕산로 189-1 (청량리동),203826.293553584,453084.953109771,POINT (959491.1883793302 1953506.8497711727)
899,하모니약국,서울특별시 동대문구 왕산로 21 민족통일대통령빌딩 1층 (신설동),202213.142496967,452711.885660789,POINT (957876.6948651585 1953142.53741883)
900,마음약국,서울특별시 동대문구 왕산로 183 1층 (청량리동),203778.875777015,453071.86687043,POINT (959443.7198704043 1953494.021754627)
901,정화약국,서울특별시 동대문구 홍릉로 7 1층 (청량리동),203879.334333615,453186.706404066,POINT (959544.7506397743 1953608.279157226)
902,경희정문약국,서울특별시 동대문구 경희대로 22-1 1층 (회기동),204599.901265846,454580.519728257,POINT (960272.4640108269 1954997.6863333874)
903,소망약국,서울특별시 동대문구 홍릉로 28 성일빌딩 1층 (청량리동),203876.834499782,453381.77294699,POINT (959543.2924657263 1953803.2805244608)
904,단우한약국,서울특별시 동대문구 약령중앙로 5 대산빌딩 1층 (제기동),203158.82785325,452949.241048981,POINT (958823.2670341745 1953374.7529254092)
905,우리들위생약국,서울특별시 동대문구 망우로 78 1층 (휘경동),205408.123620254,454157.221040528,POINT (961078.1013785657 1954570.2458531975)
906,경신당약국,서울특별시 동대문구 약령서1길 30-2 1층 (제기동),203154.151886112,453055.889925281,POINT (958819.1618713262 1953481.3839053016)
907,남지약국,서울특별시 동대문구 한천로11길 43 (답십리동),205225.351566637,451628.111334988,POINT (960881.9118469452 1952043.1330009443)
908,흥명약국,서울특별시 동대문구 고산자로30길 56 (용두동),203582.618106154,452573.460722911,POINT (959244.8824532104 1952996.8630086796)
909,감초당약국,서울특별시 동대문구 약령중앙로 11 1층 (제기동),203176.142556185,453006.365626767,POINT (958840.8795164006 1953431.7621896244)
910,평제약국,서울특별시 동대문구 약령시로 51 (제기동),203089.921317517,453411.345345474,POINT (958756.85339043 1953837.0392100916)
911,조현약국,서울특별시 동대문구 장한로6길 10 (장안동),205825.883125822,451250.289450048,POINT (961480.1858229553 1951662.26131686)
912,바오로약국,서울특별시 동대문구 왕산로 225 미주상가 2층 203호 (청량리동),204089.817117361,453314.135663101,POINT (959755.8285086029 1953734.5342239116)
913,명인약국,서울특별시 동대문구 약령서1길 26 (제기동),203150.501154816,453036.482918783,POINT (958815.4090772611 1953462.00416976)
914,인수당약국,서울특별시 동대문구 약령시로 52 (제기동),203083.709525188,453373.19665612,POINT (958750.4405693676 1953798.9389822986)
915,이문우량아약국,서울특별시 동대문구 신이문로 27 1층 101호 (이문동),205694.67023972,455652.31748734,POINT (961372.5108781309 1956063.2085939443)
916,정동약국,서울특별시 동대문구 전농로 12 (답십리동),204884.451934202,451529.148204191,POINT (960540.6220569703 1951946.0278386467)
917,연세약국,서울특별시 동대문구 전농로16길 11 (전농동),205072.664121684,452924.638877612,POINT (960736.2014038861 1953339.9513365636)
918,신보명약국,서울특별시 동대문구 천호대로79길 66 (장안동),205628.202692961,451420.972847633,POINT (961283.4955372383 1951833.9298523786)
919,삼천당약국,서울특별시 동대문구 약령동길 41 (제기동),203258.637435173,453102.877149867,POINT (958923.856110055 1953527.794858263)
920,조령약국,서울특별시 동대문구 장한로 12 (장안동),205728.841217985,451139.60744767,POINT (961382.5929455082 1951552.1415682829)
921,미소담한약국,서울특별시 동대문구 고산자로 473 (제기동),203312.172511544,453290.730639305,POINT (958978.3718345027 1953715.2872623294)
922,뉴프라자약국,서울특별시 동대문구 고산자로 399 104호105호 (용두동 동양프라자),203251.7035795,452563.06498635,POINT (958914.0454729465 1952988.2365804554)
923,청량리중앙약국,서울특별시 동대문구 왕산로 214 403호 (전농동),204081.282117393,453187.395154017,POINT (959746.6208067914 1953607.8902875916)
924,새한약국,서울특별시 동대문구 약령중앙로 10-5 (제기동),203222.273683891,453000.783837393,POINT (958886.9623375655 1953425.9365528661)
925,남진약국,서울특별시 동대문구 약령시로 86-1 (제기동),203405.223407885,453386.094172688,POINT (959071.8940953792 1953810.1160464433)
926,외대조은약국,서울특별시 동대문구 휘경로 10 1층 (이문동),205320.214817086,454846.720574944,POINT (960993.9073764104 1955259.9358381326)
927,약수당약국,서울특별시 동대문구 약령중앙로 27-1 1층 (제기동),203187.87373863,453167.57482114,POINT (958853.4659838083 1953592.8440398704)
928,삼화약국,서울특별시 동대문구 왕산로 207 1층 (청량리동),203974.275434989,453174.504699434,POINT (959639.5884364827 1953595.5758771452)
929,대명당약국,서울특별시 동대문구 천호대로13길 56 (용두동),202588.797337827,452686.605249974,POINT (958252.0642878463 1953115.26330275)
930,청운약국,서울특별시 동대문구 휘경로23길 14 (휘경동),205710.131601774,454754.090298648,POINT (961383.1722237725 1955165.2622284999)
931,동안메디약국,서울특별시 동대문구 천호대로17길 75 1층 (용두동),202769.123654078,452791.827092225,POINT (958432.8795575064 1953219.481018915)
932,인영약국,서울특별시 동대문구 왕산로 118 (용두동),203138.716046808,452852.994225868,POINT (958802.6498800179 1953278.6520491687)
933,휘경약국,서울특별시 동대문구 망우로21가길 10 (휘경동),205449.583072772,454275.766557541,POINT (961120.1766171153 1954688.5222338366)
934,혜중약국,서울특별시 동대문구 이문로 186 (이문동),205430.630884678,455651.759148378,POINT (961108.5752945002 1956064.059765753)
935,경원약국,서울특별시 동대문구 고산자로36길 3 (제기동),203403.019535366,452985.725419514,POINT (959067.5552342777 1953409.919987091)
936,중량약국,서울특별시 동대문구 망우로 131 (휘경동),205884.380023124,454398.116330131,POINT (961555.4505953455 1954808.5024564893)
937,우량아약국,서울특별시 동대문구 사가정로 214 (장안동),205999.550777612,452908.968703961,POINT (961662.6298013888 1953319.3430829816)
938,경희고황약국,서울특별시 동대문구 경희대로 17 1층 (회기동),204564.764643532,454547.036459773,POINT (960237.1628813051 1954964.404065459)
939,민중약국,서울특별시 동대문구 답십리로 9 1층 (전농동),203757.008715438,452923.162315716,POINT (959421.0683331741 1953345.4936841463)
940,홍약국,서울특별시 동대문구 답십리로48가길 46 (답십리동),205048.80396894,452086.444323756,POINT (960707.8799563992 1952502.222480883)
941,현지당약국,서울특별시 동대문구 약령중앙로4길 4 4층 1호 (제기동),203220.398869462,453056.165127,POINT (958885.3837133034 1953481.3055933497)
942,아산당약국,서울특별시 동대문구 약령중앙로10길 3 1층 (제기동),203244.305373894,453359.76709905,POINT (958910.90026826 1953784.658046447)
943,새이화약국,서울특별시 동대문구 장한로 140 1층 (장안동),206306.153246223,452286.974532047,POINT (961965.7903667123 1952695.9653453138)
944,엄마약국,서울특별시 동대문구 휘경로 15 4층 402호 (이문동),205403.444759807,454846.056612821,POINT (961077.1001453154 1955258.8279849566)
945,보림한약국,서울특별시 동대문구 이문로1길 25 1층 (회기동),204596.460614502,454109.166541657,POINT (960266.5096041792 1954526.5415985694)
946,윤창당약국,서울특별시 동대문구 약령중앙로 4 1층 (제기동),203195.697736039,452912.216440315,POINT (958859.9246003184 1953337.5465081022)
947,광선당약국,서울특별시 동대문구 약령서1길 32 1층 (제기동),203152.671609202,453073.508090041,POINT (958817.7761755271 1953499.0028896544)
948,해동그랜드약국,서울특별시 동대문구 한천로 186 (장안동),205963.502840757,452797.431665246,POINT (961626.0014748707 1953208.043483181)
949,한진당약국,서울특별시 동대문구 고산자로36길 3 (제기동),203397.282060237,453025.117728275,POINT (959062.030206142 1953449.327068552)
950,한유약국,서울특별시 동대문구 한천로 89 (답십리동),205589.028650383,451930.499667939,POINT (961247.0546813234 1952343.4595698852)
951,경애약국,서울특별시 동대문구 사가정로25길 18 (장안동),206165.133114277,453033.704296825,POINT (961828.8105077283 1953443.1448771378)
952,신행당약국,서울특별시 동대문구 사가정로 148 3층 (전농동 sk아파트스포츠상가),205271.704936121,452706.897879436,POINT (960934.0003382581 1953121.2365313568)
953,연수당약국,서울특별시 동대문구 무학로34길 11 (용두동),202696.729309544,452687.373124177,POINT (958359.9570671197 1953115.4551340004)
954,신동서약국,서울특별시 동대문구 약령시로 2-1 (제기동),202589.504723876,453338.782309117,POINT (958256.2504908781 1953767.1750117494)
955,신한약국,서울특별시 동대문구 장한로 170 (장안동),206317.625784018,452577.242492183,POINT (961978.8065158101 1952986.0545196766)
956,보림약국,서울특별시 동대문구 장한로 115 (장안동),206158.609154575,452075.431032307,POINT (961817.1777319983 1952485.2944703894)
957,삼익약국,서울특별시 동대문구 회기로29길 35 1층 (휘경동),205052.646378105,454379.046708686,POINT (960723.9513603095 1954793.8787027714)
958,넘버원삼육약국,서울특별시 동대문구 망우로18길 26 1층 (휘경동),205465.262712294,454053.171498505,POINT (961134.6621986222 1954465.9334891601)
959,새성수약국,서울특별시 동대문구 서울시립대로 116 (전농동),204491.328093018,453162.776539973,POINT (960156.3702543611 1953581.094105326)
960,우남약국,서울특별시 동대문구 약령중앙로2길 2 4층 402호 (제기동),203208.049025786,452928.335014597,POINT (958872.3569130094 1953353.5927190804)
961,동대문보건약국,서울특별시 동대문구 고산자로28가길 2 (용두동),203491.73828981,452520.654610227,POINT (959153.757502748 1952944.5628887857)
962,킴스팜대보약국,서울특별시 동대문구 휘경로3길 4 이문동빌딩 1층 (이문동),205445.609973669,454833.337679973,POINT (961119.1804437772 1955245.889177358)
963,오렌지약국,서울특별시 동대문구 한천로 120 (장안동),205759.403254976,452170.174525284,POINT (961418.6386977023 1952582.128807627)
964,새린온누리약국,서울특별시 동대문구 답십리로 266 1층 (장안동),206099.743325087,452218.18881442,POINT (961759.0971453864 1952628.3084139337)
965,한사랑온누리약국,서울특별시 동대문구 신이문로 41 1층 (이문동),205824.119179799,455650.25644686,POINT (961501.8964535425 1956060.457466471)
966,이문태평양약국,서울특별시 동대문구 이문로 130 1층 (이문동),205354.541190365,455089.926173852,POINT (961029.517787824 1955502.8599677992)
967,고가모니한약국,서울특별시 동대문구 경희대로3길 10 2층 (회기동),204506.911557706,454503.696244761,POINT (960179.10184765 1954921.3900420386)
968,하은약국,서울특별시 동대문구 사가정로 110 (전농동),204991.471642488,452747.441257962,POINT (960654.0964645102 1953163.2583670814)
969,이웃사랑약국,서울특별시 동대문구 한천로46길 56-4 101호 (장안동 부성빌딩),206236.482925697,453256.478266285,POINT (961901.31985188 1953665.4479933456)
970,익수당약국,서울특별시 동대문구 약령중앙로4길 9 (제기동),203264.091526218,453073.831726814,POINT (958929.1530623217 1953498.7320103312)
971,새소망약국,서울특별시 동대문구 답십리로 293 (장안동),206384.176300093,452248.684634996,POINT (962043.5775870191 1952657.2748088632)
972,원국산약국,서울특별시 동대문구 약령중앙로 8-1 (제기동),203199.285346628,452964.541590333,POINT (958863.789898495 1953389.8314988068)
973,조은온누리약국,서울특별시 동대문구 장한로 51 1층 (장안동),205858.614104173,451494.590428778,POINT (961514.2063569444 1951906.2889086108)
974,으뜸당약국,서울특별시 동대문구 고산자로 472-1 1층 (제기동),203358.436728113,453284.659894749,POINT (959024.5850737502 1953708.9721436235)
975,신상록수약국,서울특별시 동대문구 무학로26길 5 1층 (용두동),202681.439825443,452355.717292571,POINT (958342.9046439667 1952784.0139114754)
976,신우당약국,서울특별시 동대문구 약령동길 84 1층 (제기동),203296.08135474,453306.220800131,POINT (958962.3697814981 1953730.857042772)
977,감초당온누리약국,서울특별시 동대문구 한천로 242 1층 (전농동),205996.909518819,453361.806084615,POINT (961662.4053466328 1953772.0112500829)
978,신종로약국,서울특별시 동대문구 왕산로 261 1층 (청량리동),204355.155807166,453563.101742638,POINT (960022.3885598563 1953981.9844149735)
979,명약국,서울특별시 동대문구 망우로18나길 3 1층 (휘경동),205278.524024703,453893.928087351,POINT (960947.1493081626 1954307.7507923094)
980,원지당약국,서울특별시 동대문구 약령중앙로 14-3 (제기동),203218.811141729,453033.809021138,POINT (958883.677362077 1953458.9669393692)
981,삼성엠(M)약국,서울특별시 동대문구 왕산로 247-1 (청량리동),204257.274179898,453459.013903349,POINT (959923.9910492188 1953878.460727206)
982,서천당약국,서울특별시 동대문구 약령중앙로8길 15 (제기동),203294.527181373,453271.352778136,POINT (958960.630215813 1953696.0113239905)
983,메디팜사랑약국,서울특별시 동대문구 망우로18길 6 1층 (휘경동),205438.402744342,454147.421150152,POINT (961108.3159761524 1954560.2883610881)
984,장안메디칼약국,서울특별시 동대문구 사가정로 207 104호105호 (장안동 삼협메디스빌딩),205935.930156235,452962.524060341,POINT (961599.3206148756 1953373.2161434523)
985,행복한약국,서울특별시 동대문구 답십리로66길 95 1층 (장안동),205780.818763121,451816.239056916,POINT (961438.1578554041 1952228.2222951842)
986,동안당약국,서울특별시 동대문구 약령중앙로 73 (제기동),203227.416372704,453616.848670637,POINT (958895.3896077338 1954041.7264286657)
987,금창약국,서울특별시 동대문구 약령시로 3 1층 (제기동),202591.785254142,453388.512918191,POINT (958258.7954182231 1953816.873507775)
988,우리보강약국,서울특별시 동대문구 약령시로 133 1층 (청량리동),203884.347566499,453458.342052885,POINT (959551.2110061373 1953879.778729494)
989,경희중앙약국,서울특별시 동대문구 경희대로 19-9 지하1층 1층 (회기동),204524.191881131,454544.059513683,POINT (960196.5905911427 1954961.6448250574)
990,약손당약국,서울특별시 동대문구 약령중앙로 5 (제기동),203158.82785325,452949.241048981,POINT (958823.2670341745 1953374.7529254092)
991,태평양약국,서울특별시 동대문구 고산자로 451 1층 (제기동),203302.375379719,453086.293920097,POINT (958967.4880158115 1953510.9849647288)
992,새경희약국,서울특별시 동대문구 경희대로1가길 27 (회기동),204476.916755068,454528.084672766,POINT (960149.2492777536 1954945.9286951418)
993,진선미약국,서울특별시 동대문구 한천로 86 (장안동),205598.87686556,451866.915089646,POINT (961256.5597978667 1952279.848176791)
994,아파트엠약국,서울특별시 동대문구 무학로26길 16 111호 (용두동),202785.097798743,452268.006218109,POINT (958446.0531974995 1952695.7851349446)
995,세광약국,서울특별시 동대문구 왕산로 171 (제기동),203647.982152268,453022.99062787,POINT (959312.6181608626 1953445.8634416538)
996,동암당약국,서울특별시 동대문구 고산자로44길 2 (제기동),203365.278333477,453345.228511441,POINT (959031.7470577601 1953769.4799167784)
997,한림약국,서울특별시 동대문구 장한로21길 11-12 (장안동),205998.37441487,451879.411330743,POINT (961655.9624019812 1952290.2087246373)
998,신도약국,서울특별시 동대문구 고산자로 534 103호 (제기동 한신아파트 상가동),203388.646669062,454069.152283609,POINT (959058.9683775799 1954492.9880287386)
999,건강한약국,서울특별시 동대문구 왕산로32길 7 4층 6호 (용두동),203624.129825056,452935.837397665,POINT (959288.3105037307 1953358.8725072925)
1000,복지약국,서울특별시 동대문구 천호대로 227 (답십리동),204179.262371827,452030.999184386,POINT (959838.3932427575 1952451.437416568)
